"Form Number","Numero de formulario","Nome do entrevistador","Periodo da Pesquisa","Sexo","Copy of Quantos anos tem","Estado Civil","Numero de A. Familiar","Quantas de sexo feminino","Quantas pessoas menor de 18 anos","Quantas criancas estudam","Nasceu neste povoado","Se nao, ha quantos anos vive neste povoado","Situacao escolar","Situacao Religiosa","OBC que faz parte","Ocupacao Principal","Se realiza actividade de Pesca A quantos anos","Quem ensiou a pescar","Tem embarcacao de pesca","Que tipo de arte utiliza","Quantas artes de linha de mao tem","Quantos Arpao tem","Quantas artes de emalhar tem","Quantos marinheiros tem na embarcacao que pesca","Quantas vezes vai pesca por dia","Quantas horas fica na faina","Em que local pesca","Tem mudado a zona de pesca","Que tipo de embarcacao utiliza","Quantas embarcacoes de fibra tem","Quantas embarcacoes de Madeira/contraplacado tem","Onde adquiriu a embarcacao","Qual a especie mais capturada","Mes de maior rendimento","Mes de rendimento medio","Mes de rendimento baixo","Quais sao as capturas Maxima e Minima por faina Maxima","Minima","Qual é o mercado","Qual é o preco local por especie Garoupa","Vermalhao","Atum","Serra","Lagostas","Quem sao compradores de pescado","voce ja se benificou-se de algum credito","Se sim, de que Instituicao","Sempre pescou da mesmo maneira","Qual é o nível de captura a 5 anos comparando com hoje","Se estiver a diminuir, quais sao as causas","Se as capturas estiver a diminuir, qual é o impacto na familia","No passado qual era a arte mais utilizada","Quel era a captura por faina","Como era a forma que pescava no passado comparando com hoje","Tem conhecimento de algum problemas relacionados com a pesca de arpao","Ja pensou em mudar de pescar com arte de Arpao","Se sim, para que arte pensa em mudar","Existe alguma dificuldade em mudar de arte","Copy of Se existir as dificuldades Quias sao","Qual a especie pretende capturar com a nova arte","Quais sao as especies mais capturada","Quais sao os influenciadores sobre o publico-alvo","Qual é OBC que tem maior influencia sobre o publico alvo","Em que incide a influencia","Voce aceitaria de deixar de pescar com arpao?","Se existir, quais sao as causas da resistencia","Acha que seria facil ou dificil em convece-lo para novo comportamento da pesca de garoupa de Mancha castanha","Copy of Se for facil Porque","Se for deficil Porque","Voce aceitaria a mudar de comportamento para adptar nova regra de pesca","Aceitaria porque","Copy of Nao aceitaria porque","Acha que teria alguma resistência em abandonar a pesca com Arpao","Se for sim","Se for nao","A comunidade tem enfrentado alguma dificuldade","Falta de agua","Energia RN","Insumo de pesca","Bomba de combustivel","Sistema de congelamento","Vias de acesso","Tem informação ou conhecimento sobre a conservacao da garoupa de mancha castanha","Ha captura das espécies em conservacao ou protegidas","Qual das especies é a mais capturada","Quais sao os problemas da zona costeira","A forma que voce pesca hoje acha que é melhor que antes","Se nao, porque","Voce acha que a quantidade da garoupa de mancha castanha esta a dimunuir com o passar do tempo","Copy of Se for sim,","voce ja falou com outros pescadores sobre a pesca com Arpao","Se sim. porque","Copy of Se for nao, porque","A mudança proposta pelo projecto pode trazer benefícios aos pescadores e à comunidade","Copy of Copy of Se for sim Porque","Copy of Se for nao Porque","Qual é a fonte de informacao na comunidade","Qual é ONG com maior ligacao com a comunidade","Qual a instituicao que tem maior ligacao com pescadores e a comunidade","Qual é a OBC com maior ligacao com a pesca","Quas sao os aspectos culturais ligado a pesca","Form's Doc","Form Source","Form Created","Form's ID", 
11,11,"Edmundo Anibal","Linha de base antes da campanha","M","31 a 35 anos","Un. Marital","3 Pessoas","2 Pessoas","1 Pessoa","Nenhum","Sim"," ","Nivel Primario","Zione","Nenhum","Pesca","entre 5 a 10 anos","Irmao","Nao","Linha","2 Artes","Nenhum","Nenhum","2 marinheiros","1 vez","4 a 6horas","Nas rochas","Nao","Nenhum","Nenhum","Nenhum","Local","Garoupa","J","J","A","10 a 30Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","+100 Kg","Positivo","Imigracao","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Falta de alternativa para mudanca","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Vai aumentar a producao","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Nao","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Pesca no coral","Sim","Muita procura","Sim","Muita Procura","Nenhum","Sim","Maior gestao comunitaria"," ","Governo","FDM","DPMAIP","CCP","Apanha de mexilhao","1","","Feb 23, 18 23:33","wcjt-t6cw-d7h", 
12,12,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Un. Marital","6 Pessoas","2 Pessoas","3 Pessoas","3 Criancas","Sim"," ","Nivel Primario","Zione","Poupanca Credito Rotativo - PCR","Pesca","entre 5 a 10 anos","Pai","Sim","Linha","4 Artes","Nenhum","Nenhum","4 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","Nenhum","Nenhum","Local","Vermelhao","J","N","D","40 a 60 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","80 a 100Kg","Positivo","Pesca com arpao nas rochas","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Nenhum","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Nenhum","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Esforco de pesca","Sim","Nao sabe","Sim","Maior Rendimento","Nenhum","Sim","Nenhum"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","e","Feb 24, 18 00:34","rcn2-v6cr-dx5", 
13,12,"Edmundo Anibal","Linha de base antes da campanha","M","31 a 35 anos","Un. Marital","+ 8 Pessoas","4 Pessoas","5 Pessoas","4 Criancas","Nao","Mais de 5 anos","Nivel Primario","Assembleia de Deus","Conselho Comunitario de Pesca-CCP","Pesca","entre 5 a 10 anos","Irmao","Nao","Linha","2 Artes","Nenhum","Nenhum","2 marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Local","Vermelhao","J","N","D","40 a 60 Kg","25 a 30 Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","80 a 100Kg","Positivo","Insumo de pesca","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Falta de alternativa para mudanca","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Sabe que vai aumentar as especies","Nenhum","Nao","Nenhum","Arpao nao bom para ecossistema","Sim","Sim","Sim","Nao","Nao","Nao","Nao","Sim","Nao","Nao sabe","Nao sebe","Sim"," ","Sim","Muita procura","Sim","Maior Rendimento","Nenhum","Sim","Aumento da producao"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","e","Feb 24, 18 09:59","wckx-y6cy-d0c", 
14,14,"Jose Macie","Linha de base antes da campanha","M","31 a 35 anos","Solteiro","4 Pessoas","2 Pessoas","2 Pessoas","Nenhum","Nao","Mais de 5 anos","Nivel Primario","Assembleia de Deus","Conselho Comunitario de Pesca-CCP","Pesca","Mais de 10 anos","Sozinho","Nao","Emalhe"," ","Nenhum","1 Arte de emalhar","1 Marinheiro","2 vezes","1 a 3 horas","Nas rochas","Nao","Madeira ou contraplacado","Nenhum","Nenhum","Local","Serra","J","F","M","10 a 30Kg","5 a 10Kg","Local","200 Mt/Kg","180 Mt/Kg","200Mt/Kg","230Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","20 a 40Kg","Positivo","Nenhum","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Sim","Maior rendimento","Facil","Concorda com objectivo do projecto","Nenhum","Nao","Nenhum","Sempre pescou da mesma maneira","Nao","Vive da pesca de arpao","Nenhum","Sim","Sim","Sim","Sim","Sim","Sim","Nao","Sim","Nao","Raia Manta"," ","Sim"," ","Nao"," ","Sim","Maior Rendimento","Nenhum","Sim","Maior gestao comunitaria"," ","Governo","FDM","SDAE","CCP","Nao sabe","1","","Feb 24, 18 10:19","kc09-86cy-d30", 
15,15,"Edmundo Anibal","Linha de base antes da campanha","M","21 am25 anos","Solteiro","3 Pessoas","2 Pessoas","3 Pessoas","2 Criancas","Nao","Mais de 5 anos","Nivel Secundario","Assembleia de Deus","Nenhum","Pesca","Entre 3 a 4 anos","Irmao","Nao","Arpao"," ","1 Arpao","Nenhum","1 Marinheiro","1 vez","1 a 3 horas","Nas rochas","Sim","Nenhum","Nenhum","Nenhum"," ","Lagosta","O","N","D","10 a 30Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","20 a 40Kg","Positivo","Problema de conservacao","Sim","Para Linha","Nenhum","Nenhum","Vermelhao","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Falta de alternativa para mudanca","Dificil","Nenhum","Nao tem comentario","Nao","Nenhum","Nao sabe pescar de outra forma","Nao","Nenhum","Arpao nao bom para ecossistema"," ","Sim","Sim","Nao","Nao","Sim","Nao","Sim","Nao","Nao sabe","Nao sebe","Nao","Nao ha veda","Sim","Nao sabe","Sim","Maior Rendimento","Nenhum","Sim","Aumento das especies"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 24, 18 11:53","kcpj-86c2-d6k", 
16,16,"Edmundo Anibal","Linha de base antes da campanha","M","31 a 35 anos","Un. Marital","5 Pessoas","2 Pessoas","3 Pessoas","1 crianca","Sim"," ","Nivel Primario","Catolica","Nenhum","Pesca","entre 5 a 10 anos","Irmao"," ","Emalhe"," ","Nenhum","1 Arte de emalhar","1 Marinheiro","1 vez","1 a 3 horas","Nas rochas","Nao","Nenhum","Nenhum","Nenhum"," ","Serra","J","J","M","10 a 30Kg","11 a 15Kg","Local","200 Mt/Kg","180 Mt/Kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","+100 Kg","Positivo","Pesca com arpao nas rochas","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Nao","Nenhum","Facil","Sabe que vai aumentar a especie de Garoupa","Nenhum","Sim","Nenhum","Nenhum","Sim","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Sim","Sim","Nao","Sim","Nao","Nao sabe"," ","Nao","Nenhum","Nao","Nao sabe","Sim","Fraca producao agricola","Nenhum","Nao"," ","Nao tem comentario","Governo","FDM","DPMAIP","CCP","Apanha de mexilhao","1","","Feb 24, 18 12:22","6c3p-36c2-dcr", 
17,17,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Un. Marital","+ 8 Pessoas","Nenhum","+ 7 Pessoas","+ 7 Criancas","Nao","Mais de 5 anos","Nivel Primario","Assembleia de Deus","Conselho Comunitario de Pesca-CCP","Pesca","Mais de 10 anos","Tio","Sim","Linha","6 Artes","Nenhum","Nenhum","6 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Local","Vermelhao","M","J","N","40 a 60 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","50 a 70Kg","Positivo","Pesca com arpao nas rochas","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Nao","Nenhum","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Vai aumentar a producao","Nenhum","Nao","Nenhum","Pesca mo local de procriacao","Sim","Sim","Sim","Sim","Sim","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Esforco de pesca","Sim","Maior rendimento","Sim","Maior Rendimento","Nenhum","Sim","Vai aumentar a renda"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 24, 18 12:35","dc00-d6cf-d1g", 
18,18,"Edmundo Anibal","Linha de base antes da campanha","M","55 a 60 anos","Un. Marital","+ 8 Pessoas","4 Pessoas","1 Pessoa","4 Criancas","Nao","Mais de 5 anos","Nivel Primario","Catolica","Conselho Comunitario de Pesca-CCP","Pesca","Mais de 10 anos","Avo","Sim","Linha","4 Artes","Nenhum","Nenhum","4 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Local","Vermelhao","J","N","D","10 a 30Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","230Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Sobrepesca","Negativo","linha de mao","+100 Kg","Positivo","Problema de conservacao","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Falta de alternativa para mudanca","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Vai aumentar a producao","Nenhum","Sim","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Nao","Sim","Nao","Sim","Nao","Nao sabe","Nao sebe","Sim","Nenhum","Sim","Muita procura","Sim","Maior Rendimento","Nenhum","Sim","Aumento da producao"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 24, 18 12:53","pcpg-x6cf-dwh", 
19,19,"Edmundo Anibal","Linha de base antes da campanha","M","36 a 40 anos","Casado","7 Pessoas","5 Pessoas","2 Pessoas","3 Criancas","Sim"," ","Nivel Primario","Assembleia de Deus","Conselho Comunitario de Pesca-CCP","Pesca","entre 5 a 10 anos","Amigo","Sim","Linha","6 Artes","Nenhum","Nenhum","6 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","2 Embarcacoes","Nenhum","Maxixe","Vermelhao","A","M","N","40 a 60 Kg","25 a 30 Kg","Local","200 Mt/Kg","200Mt/kg","200Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","80 a 100Kg","Positivo","Pesca com arpao nas rochas","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Falta de alternativa para mudanca","Facil","Vai aumentar o rendimento no futuro","Nenhum","Sim","Vai aumentar a producao","Nenhum","Nao","Nenhum","Pesca mo local de procriacao","Sim","Sim","Sim","Sim","Nao","Sim","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Esforco de pesca","Sim","Maior rendimento","Sim","Maior Rendimento","Nenhum","Sim","Aumento das especies"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 24, 18 13:19","nc0f-f6cf-d1j", 
20,20,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Un. Marital","7 Pessoas","2 Pessoas","1 Pessoa","1 crianca","Sim"," ","Nivel Primario","Assembleia de Deus","Nenhum","Pesca","Mais de 10 anos","Pai","Sim","Linha","4 Artes","Nenhum","Nenhum","4 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Maputo","Vermelhao","N","D","J","10 a 30Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","230Mt/Kg","200Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","20 a 40Kg","Positivo","Imigracao","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Falta de alternativa para mudanca","Facil","Vai aumentar o rendimento no futuro","Nenhum","Sim","Vai aumentar o rendimento","Nenhum","Sim","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Sim","Sim","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Esforco de pesca","Sim","Muita procura","Sim","Maior Rendimento","Nenhum","Sim","Aumento das especies"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 24, 18 13:39","fc5p-h6cf-df2", 
21,21,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Solteiro","6 Pessoas","2 Pessoas","3 Pessoas","3 Criancas","Sim"," ","Nivel Primario","Catolica","Poupanca Credito Rotativo - PCR","Pesca","Mais de 10 anos","Tio","Nao","Linha","1 arte","Nenhum","Nenhum","2 marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Inharrime","Vermelhao","N","D","J","40 a 60 Kg","11 a 15Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","200Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","80 a 100Kg"," ","Pesca com arpao nas rochas","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Serra","Chefe de povoacao","CCP","Modo de pesca","Nao","Nenhum","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Nenhum","Nenhum","Sim","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Nao","Sim","Nao","Sim","Nao","Raia Manta","Lixo na praia","Nao","Nao ha veda","Nao sabe"," ","Sim","Maior Rendimento","Nenhum","Sim","Aumento das especies"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 24, 18 13:50","jc20-g6c7-d57", 
22,22,"Jose Macie","Linha de base antes da campanha","M","31 a 35 anos","Un. Marital","+ 8 Pessoas","5 Pessoas","4 Pessoas","1 crianca","Nao"," ","Nivel Primario","Zione","Conselho Comunitario de Pesca-CCP","Pesca","Mais de 10 anos","Amigo","Sim","Linha","2 Artes","Nenhum","Nenhum","1 Marinheiro","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Local","Vermelhao","J","F","J","40 a 60 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","50 a 70Kg","Positivo","Pesca com arpao nas rochas","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Atum","Chefe de povoacao","CCP","Tempo de Pesca","Nao","Muita procura","Facil","Sabe que vai aumentar a especie de Garoupa","Nenhum","Sim","Nenhum","Nenhum","Sim","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Sim","Sim","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Pesca nas rochas","Sim","Muita procura","Sim","Maior Rendimento","Nenhum","Sim","Aumento das especies"," ","Governo","FDM","SDAE","CCP","Nao sabe","1","","Feb 24, 18 14:07","1cx9-c6c7-dx1", 
23,23,"Jose Macie","Linha de base antes da campanha","M","46 a 50 anos","Un. Marital","+ 8 Pessoas","+ 7 Pessoas","+ 7 Pessoas","6 Criancas","Sim"," ","Nivel Primario","Assembleia de Deus","Conselho Comunitario de Pesca-CCP","Pesca","Mais de 10 anos","Amigo","Sim","Linha","6 Artes","Nenhum","Nenhum","6 Marinheiros","1 vez","7 a 10 horas","Nos recifes","Nao","Fibra","1 Embarcacao","Nenhum","Local","Vermelhao","M","A","M","70 a 100 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","200Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","80 a 100Kg","Positivo","Pesca com arpao nas rochas","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Serra","Chefe de povoacao","CCP","Tempo de Pesca","Sim","Muita procura","Dificil","Nenhum","Tem alto valor nutritivo","Sim","Vai aumentar o rendimento","Nenhum","Sim","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Sim","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Pesca nas rochas","Sim","Muita procura","Sim","Muita Procura","Nenhum","Sim","Aumento da producao"," ","Governo","FDM","SDAE"," ","Apanha de mexilhao","1","","Feb 24, 18 14:22","ycj5-g6c7-dhd", 
24,24,"Jose Macie","Linha de base antes da campanha","M","46 a 50 anos","Casado","+ 8 Pessoas","3 Pessoas","4 Pessoas","4 Criancas","Sim"," ","Nivel Primario","Metodista","Conselho Comunitario de Pesca-CCP","Pesca","Mais de 10 anos","Amigo","Sim","Linha","5 Artes","Nenhum","Nenhum","5 Marinheiros","1 vez","7 a 10 horas","Dentro das 3 milhas","Nao","Fibra","1 Embarcacao","Nenhum","Inhambane","Vermelhao","D","J","F","70 a 100 Kg","25 a 30 Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","200Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","20 a 40Kg","Positivo","Nenhum","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Serra","Chefe de povoacao","Grupo de trabalho de AGC+ARR","Modo de pesca","Nao","Falta de alternativa para mudanca","Facil","Sabe que vai aumentar a especie de Garoupa","Nenhum","Sim","Vai aumentar o rendimento","Nenhum","Nao","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Sim","Sim","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Esforco de pesca"," "," ","Sim"," ","Fraco rendimento","Sim","Maior gestao comunitaria"," ","Governo","FDM","SDAE","CCP","Nao sabe","1","","Feb 24, 18 14:37","1cv7-v6c7-df4", 
25,25,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Casado","+ 8 Pessoas","+ 7 Pessoas","Nenhum","4 Criancas","Nao","Mais de 5 anos","Nivel Primario","Catolica","Conselho Comunitario de Pesca-CCP","Pesca","Mais de 10 anos","Amigo","Sim","Linha","6 Artes","Nenhum","Nenhum","4 Marinheiros","1 vez","7 a 10 horas","Nos corais","Sim","Madeira ou contraplacado","Nenhum","I Embarcacao","Local","Vermelhao","M","A","M","10 a 30Kg","11 a 15Kg","Local","200 Mt/Kg","180 Mt/Kg","160Mt/Kg","200Mt/Kg","200Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Nao","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","+100 Kg","Positivo","Imigracao","Nao","Nenhum","Nenhum","Nenhum","Lagosta","Serra","Chefe de povoacao","CCP","Modo de pesca","Nao","Nenhum","Facil","Sabe que vai aumentar a especie de Garoupa","Nenhum","Sim","Vai aumentar a producao","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Sim","Sim","Nao","Sim","Nao"," ","Lixo na praia","Sim"," ","Sim"," ","Sim","Fraca producao agricola"," ","Sim","Maior gestao comunitaria"," ","Governo","Nao sabe","SDAE","CCP","Nao sabe","1","","Feb 24, 18 14:54","pxtp-x6c7-dtx", 
26,26,"Jose Macie","Linha de base antes da campanha","M","55 a 60 anos","Un. Marital","+ 8 Pessoas","6 Pessoas","Nenhum","5 Criancas","Sim"," ","Nivel Primario","Nenhum","Conselho Comunitario de Pesca-CCP","Pesca","Mais de 10 anos","Tio","Sim","Linha","5 Artes","Nenhum","Nenhum","6 Marinheiros","1 vez","7 a 10 horas","Dentro das 3 milhas","Sim","Madeira ou contraplacado","Nenhum","I Embarcacao","Local","Garoupa","N","D","J","70 a 100 Kg","25 a 30 Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","+100 Kg","Positivo","Cruzamento de rede","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Nao","Muita procura","Facil","Vai aumentar o rendimento no futuro","Nenhum","Sim","Vai aumentar a producao","Nenhum","Sim","Esta habituado pescar com arpao","Nenhum","Sim","Sim","Sim","Sim","Sim","Sim","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao"," ","Nao","Muita procura","Nao","Maior Rendimento"," ","Sim","Maior gestao comunitaria"," ","Governo","FDM","SDAE"," ","Nao sabe","1","","Feb 24, 18 15:14","dxck-36cm-dmn", 
27,27,"Jose Macie","Linha de base antes da campanha","M","55 a 60 anos","Un. Marital","4 Pessoas","1 Pessoa","2 Pessoas","2 Criancas","Sim"," ","Nivel Primario","Evengelica","Poupanca Credito Rotativo - PCR","Comercio de Pescado","entre 5 a 10 anos","Irmao","Sim","Linha","4 Artes","Nenhum","Nenhum","4 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Nenhum","Nenhum","Nenhum"," ","Vermelhao","O","N","D","40 a 60 Kg","16 a 20Kg","Fora de local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","200Mt/Kg","Pessoas de fora da comunidade","Sim","PCR","Sim","Dimunuiram","Nao sabe","Positivo","linha de mao","50 a 70Kg","Positivo","Nenhum","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Regulo","PCR","Especie a ser capturadas","Nao","Nenhum","Nao sei","Nenhum","Nenhum","Nao sabe","Nenhum","Nenhum","Nao sabe","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Sim","Nao","Nao","Sim","Nao sabe","Nao sabe","Lixo na praia","Nao sabe"," ","Nao sabe"," ","Nao"," "," ","Nao sabe"," "," ","Governo","FDM","SDAE","PCR","Nao sabe","1","","Feb 24, 18 15:38","kxf5-w6cm-d4k", 
28,28,"Jose Macie","Linha de base antes da campanha","M","31 a 35 anos","Un. Marital","7 Pessoas","3 Pessoas","5 Pessoas","1 crianca","Sim"," ","Nivel Primario","Zione"," ","Pesca","entre 5 a 10 anos","Pai","Nao","Arpao","1 arte","1 Arpao","Nenhum","1 Marinheiro","1 vez","1 a 3 horas","Nas rochas","Sim","Nenhum","Nenhum","Nenhum","Local","Vermelhao","J","J","A","10 a 30Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Pesca das especies em crescimento","Negativo","linha de mao","20 a 40Kg","Positivo","Cruzamento de rede","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Nao","Muita procura","Facil","Nenhum","Nenhum","Sim","Vai aumentar o rendimento","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Nao","Nao","Sim","Sim","Sim","Nao","Sim","Nao","Nao sabe","Lixo na praia","Sim"," ","Sim","Muita procura","Nao","Maior Rendimento"," ","Sim","Aumento da producao"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 24, 18 15:47","2xt2-n6cm-djr", 
