"x1","submissionid","country","level1_name","level2_name","level3_name","level4_name","level4_id","lat","lon","ma_name","ma_area","ma_status","reserves","reserve_status","x2_affiliation","x3_community","x5_hh_status","x6_gender","x8_religion","x8_religion_other","x9_region_member","x9_region_name","x44_meeting_attendance","x45_leadership_position","x48_enforcement_participation","x53_encourage_regulations","x61g_fishing_change_behavior","x43_ma_benefits","x46_represent_interests","x52_ma_benefit_5yrs","x61a_current_regulations","x61f_rights_distribution_fair","x11a_income_farming","x11a_months_farming","x11b_income_harvesting","x11b_months_harvesting","x11c_income_fishing_artisanal","x11c_months_fishing_artisanal","x11d_income_fishing_industrial","x11d_months_fishing_industrial","x11e_income_buying_trading","x11e_months_buying_trading","x11f_income_processing","x11f_months_processing","x11g_income_aquaculture","x11g_months_aquaculture","x11h_income_extraction","x11h_months_extraction","x11i_income_tourism","x11i_months_tourism","x11j_income_other_wage","x11j_months_other_wage","x11k_income_other","x11k_months_other","x11k_other_source","x12a_fishing_men","x12b_fishing_women","x12c_fishing_children","x19_current_fish_catch","x22_catch_5yrs","x23_job_secure","x26_fishing_income_save","x28_buyer_loans","x29_family_income","x30_trust_community","x30_trust_community_neighbors","x30_trust_fishers_community","x30_trust_fishers_other","x30_trust_local_decision","x30_trust_ngo","x30_trust_regional_decision","x30_trust_religious_leaders","x30_trust_village_alert","x31_my_community_ability","x38_reserve_fishing_allowed","x39_ma_boundaries_aware","x40_reserve_boundaries_aware","x49_enforcement_responsible","x50_ma_punishment","x51a_fishers_gear_not_permitted","x51b_fishers_reserves","x51c_fishers_ma_area","x51d_fishers_violate_fish_size","x51e_fishers_caught","x55_worry_food","x56_reduce_meal_size_adult","x59_food_procurement","x60_hh_fish_consumption","x61b_catch_recording","x61c_community_participation","x61d_strong_enforcement","x61h_individual_behavior","x61i_help_neighbors","x66_reaction_fishing_reserve","x66_response_fishing_reserve","x62_reserve_compliance","x63_fishing_in_reserve","x64_wrong_fishing_reserve","x21_boat_owner_status","x44_scaled","x45_scaled","x48_scaled","x53_scaled","x61g_scaled","x43_scaled","x46_scaled","x52_scaled","x61a_scaled","x61f_scaled","eng_sum","agree_sum","eng_mean","agree_mean"
13,"007a580b-8b64-4c04-8419-23e40863db6f","MOZ","Inhambane","Inharrime",NA,"Zavora",235,-24.519639,35.194556,"Zavora",9597,"Proposed",3,"Proposed","Community Member","Zavora","Household head","M","Christian",NA,0,NA,1,1,1,0,4,1,1,1,3,4,NA,NA,NA,NA,100,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"Improved slightly","Stays the same",0,1,0,"Sufficient",5,2,5,2,5,4,5,5,5,"Strongly agree",0,"Agree",10,"Fisheries Management Body","Severe",0,0,0,0,0,"Sometimes",1,"Uncertain","Few per month",3,4,4,4,4,NA,NA,NA,NA,NA,"Own",0.976564042877258,1.81417467801027,1.97951215663525,0.0208472915768021,0.0309160275647251,0.862510451458583,0.590005956520217,0.856123921978765,-0.975093245845545,0.250553665377789,4.8220141966643,1.58410074948981,0.964402839332861,0.316820149897962
15,"0082ef4f-74ac-430a-bfab-71bca5e666b7","BRA","Pará","Soure",NA,"Umarizal",2316,-0.723083,-48.509056,"RESEX Soure",27464,"Strengthened by FF",0,NA,"Surveyor","Umarizal","Child","M","Evangélico",NA,0,NA,1,-1,-1,1,5,0,1,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,"Stayed the same","Stays the same",1,0,0,"Tight",4,4,4,4,5,4,5,5,5,"Agree",-1,"Neither",0,"National Government","Strong",0,0,5,10,0,"Sometimes",0,"Confident not","More than few per week",5,5,5,5,5,NA,NA,NA,NA,NA,"Collective",0.976564042877258,-0.612178288310995,-0.603141680570095,0.967271783670603,1.24813201548917,-1.144450321836,0.590005956520217,0.856123921978765,1.25304740683387,1.33807879441758,1.97664787315594,2.89280575791444,0.395329574631188,0.578561151582888
16,"008451c8-a3bd-4d56-a8fc-9faf38ed75ce","IDN","South East Sulawesi","Konawe Selatan",NA,"Rumba-Rumba",137,-4.427403,122.80787,"Teluk Kolono",3321,"Proposed",2,"Proposed","Surveyor","Rumba-Rumba","Spouse","F","Muslim",NA,1,"amolengo",-1,-1,-1,-2,4,0,0,0,2,4,60,5,7,3,33,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Improved slightly","Declines slightly",1,0,0,"Sufficient",2,3,2,3,1,2,2,4,4,"Neither",0,"Agree",NA,"Subnational Government","No punishment",0,NA,0,0,NA,"Sometimes",0,"Uncertain","More than few per week",4,2,5,4,4,NA,NA,NA,NA,NA,"Own",-1.0864622756227,-0.612178288310995,-0.603141680570095,-1.8720016926108,0.0309160275647251,-1.144450321836,-1.09264564640186,-0.863467648623278,-2.08916357218526,0.250553665377789,-4.14286790954987,-4.93917352366861,-0.828573581909974,-0.987834704733721
17,"0085377f-c960-4a9f-b427-c1ea19f47ec3","PHL","Caraga","Surigao del Norte",NA,"Poblacion 2",1693,10.011788,126.069294,"SDN_Burgos",61051,"Proposed",1,"Proposed","Surveyor","Poblacion 2","Spouse","F","Christian",NA,1,"CARAGA",1,1,1,0,3,1,1,0,5,5,50,3,NA,NA,50,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Declined slightly","Stays the same",1,0,1,"Insufficient",5,NA,4,3,5,5,5,5,5,"Agree",0,"Strongly agree",10,"National Government","Strong",0,0,0,0,0,"Sometimes",1,"Uncertain","Few per month",4,5,5,5,5,NA,1,"1",0,"5","Not by boat",0.976564042877258,1.81417467801027,1.97951215663525,0.0208472915768021,-1.18629996035972,0.862510451458583,0.590005956520217,-0.863467648623278,1.25304740683387,1.33807879441758,3.60479820873986,3.18017496060697,0.720959641747972,0.636034992121395
18,"008b5ff6-7152-4c3a-bb4d-ba9e5c15f4a8","HND","Colón","Santa Fé",NA,"Plan Grande",566,15.8872,-86.169267,"Santa Fé",52369,"Proposed",2,"Proposed","Community Member","Plan Grande","Household head","M","Christian",NA,1,"plangrandeño",-1,-1,-1,-1,4,1,-1,1,2,4,5,3,NA,NA,15,3,70,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,"aveses hace fletes en su embarcaciones",1,0,2,"Declined slightly","Declines a lot",0,1,1,"Tight",4,2,2,2,2,4,2,4,4,"Disagree",1,"Agree",10,"National Government,Subnational Government","Moderate",7,4,0,10,3,"Sometimes",0,"High chance","More than few per week",2,4,4,4,4,"2. Aplicaría una sanción negativa informal",1,"1",0,"2","Employee",-1.0864622756227,-0.612178288310995,-0.603141680570095,-0.925577200516999,0.0309160275647251,0.862510451458583,-2.77529724932395,0.856123921978765,-2.08916357218526,0.250553665377789,-3.19644341745607,-2.89527278269406,-0.639288683491214,-0.579054556538813
21,"0097b5b7-dd42-45e4-a439-81d155129091","BRA","Pará","São Caetano de Odivelas",NA,"Cachoeira",2259,-0.724017,-48.023922,"RESEX Marinha Mocapajuba",21029,"Strengthened by FF",0,NA,"Surveyor","Cachoeira","Spouse","F","Evangélico",NA,NA,NA,-1,-1,-1,-1,2,0,0,0,2,1,30,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"Declined slightly","Declines slightly",0,0,0,"Tight",2,5,3,3,2,2,1,2,4,"Neither",-1,"Neither",8,"National Government","Weak",1,2,3,0,5,"Often",0,"Uncertain","Once or never",3,3,1,2,2,NA,NA,NA,NA,NA,"Collective",-1.0864622756227,-0.612178288310995,-0.603141680570095,-0.925577200516999,-2.40351594828417,-1.144450321836,-1.09264564640186,-0.863467648623278,-2.08916357218526,-3.01202172174158,-5.63087539330496,-8.20174891078797,-1.12617507866099,-1.64034978215759
24,"009f4167-979f-4110-9441-f2b113df3e8d","PHL","Western Visayas","Antique",NA,"Abiera",2164,11.572117,122.112752,"Antique_Sebaste",6002,"Proposed",0,"Proposed","Surveyor","Abiera","Child","M","Christian",NA,1,"Antique",1,-1,1,0,4,1,1,1,5,4,NA,NA,NA,NA,100,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,"Declined slightly","Stays the same",1,1,1,"Tight",5,3,5,3,4,4,5,4,4,"Agree",0,"Agree",5,"Subnational Government","Moderate",0,0,0,0,0,"Sometimes",0,"Uncertain","More than few per week",5,5,5,4,4,"Negative formal sanction",1,"1",0,"3","Collective",0.976564042877258,-0.612178288310995,1.97951215663525,0.0208472915768021,0.0309160275647251,0.862510451458583,0.590005956520217,0.856123921978765,1.25304740683387,0.250553665377789,2.39566123034304,3.81224140216923,0.479132246068608,0.762448280433846
26,"00adf347-1026-4494-9718-78ed4254e659","IDN","South East Sulawesi","Konawe Selatan",NA,"Lambangi",135,-4.38129,122.7423,"Teluk Kolono",3321,"Proposed",2,"Proposed","Surveyor","Lambangi","Household head","M","Muslim",NA,0,NA,1,1,1,1,5,1,1,1,4,4,30,6,NA,NA,70,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Declined slightly","Improves slightly",1,1,0,"Sufficient",4,4,4,2,4,4,4,5,2,"Agree",0,"Agree",NA,"Fisheries Management Body","Moderate",NA,NA,2,NA,NA,"Never",0,"Confident not","More than few per week",4,5,5,4,5,NA,NA,NA,NA,NA,"Own",0.976564042877258,1.81417467801027,1.97951215663525,0.967271783670603,1.24813201548917,0.862510451458583,0.590005956520217,0.856123921978765,0.138977080494165,0.250553665377789,6.98565467668255,2.69817107582952,1.39713093533651,0.539634215165904
27,"00aeddee-cbcf-4444-bb4f-2bb07aa070e5","PHL","Caraga","Surigao del Norte",NA,"Pacifico",2131,9.980543,126.080277,"SDN_SanIsidro",35657,"Proposed",1,"Proposed","Surveyor","Pacifico","Spouse","F","Christian",NA,1,"Caraga",-1,-1,-1,-1,5,1,1,1,4,4,50,4,NA,NA,50,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"Stayed the same","Stays the same",0,0,0,"Tight",4,3,3,3,5,4,5,5,4,"Agree",0,"Agree",10,"Subnational Government","Moderate",0,0,0,0,0,"Never",0,"Uncertain","Few per week",4,4,NA,5,4,NA,0,"1",0,"5","Collective",-1.0864622756227,-0.612178288310995,-0.603141680570095,-0.925577200516999,1.24813201548917,0.862510451458583,0.590005956520217,0.856123921978765,0.138977080494165,0.250553665377789,-1.97922742953162,2.69817107582952,-0.395845485906325,0.539634215165904
30,"00c7d068-db1e-4811-b7c5-0e2d412a3344","HND","Colón","Santa Fé",NA,"Quinito",571,15.880617,-86.197675,"Santa Fé",52369,"Proposed",2,"Proposed","Community Member","Quinito","Child","M","Christian",NA,1,"quinito",1,-1,-1,0,4,1,0,1,4,4,40,4,NA,NA,60,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,"Declined slightly","Stays the same",1,0,0,"Tight",4,4,4,4,4,4,4,5,4,"Neither",0,"Agree",8,"Myself","Strong",2,2,2,NA,1,"Never",0,"Confident not","More than few per week",4,4,4,4,4,"negative informal sanction",1,"1",0,"4","Own",0.976564042877258,-0.612178288310995,-0.603141680570095,0.0208472915768021,0.0309160275647251,0.862510451458583,-1.09264564640186,0.856123921978765,0.138977080494165,0.250553665377789,-0.186992606862305,1.01551947290744,-0.037398521372461,0.203103894581488
31,"00d37217-2e62-4d82-867f-aa809e95764f","PHL","Caraga","Surigao del Norte",NA,"Maribojoc",2114,9.928271,125.961866,"SDN_SanBenito",37633,"Proposed",1,"Proposed","Surveyor","Maribojoc","Household head","M","Christian",NA,1,"CARAGA",0,0,0,0,4,0,0,0,3,3,NA,NA,NA,NA,50,2,NA,NA,20,4,20,4,50,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Declined a lot","Stays the same",0,0,0,"Tight",5,3,5,NA,3,4,4,3,4,"Neither",1,"Neither",9,"Fisheries Management Body","Moderate",8,8,7,6,7,"Sometimes",0,"Uncertain","Few",4,5,4,5,4,NA,0,"0",0,"5","Own",-0.0549491163727232,0.600998194849636,0.688185238032578,0.0208472915768021,0.0309160275647251,-1.144450321836,-1.09264564640186,-0.863467648623278,-0.975093245845545,-0.836971463662,1.28599763565102,-4.91262832636868,0.257199527130204,-0.982525665273737
33,"00df6adf-1fee-428a-b27f-3858fc5f23c6","PHL","Caraga","Surigao del Norte",NA,"Maribojoc",2114,9.928271,125.961866,"SDN_SanBenito",37633,"Proposed",1,"Proposed","Surveyor","Maribojoc","Spouse","F","Christian",NA,1,"Caraga",1,-1,-1,-2,4,1,0,0,4,4,NA,NA,NA,NA,100,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Declined slightly","Stays the same",1,0,1,"Tight",4,4,4,4,4,4,4,4,4,"Neither",0,"Strongly agree",10,NA,"Moderate",0,0,0,0,0,"Sometimes",0,"Uncertain","More than few per week",4,4,4,4,4,NA,0,"1",NA,"3","Own",0.976564042877258,-0.612178288310995,-0.603141680570095,-1.8720016926108,0.0309160275647251,0.862510451458583,-1.09264564640186,-0.863467648623278,0.138977080494165,0.250553665377789,-2.07984159104991,-0.704072097694605,-0.415968318209981,-0.140814419538921
34,"00df96a9-078d-407b-b4a1-232236528c4d","PHL","Caraga","Surigao del Norte",NA,"Del Carmen (Pob.)",2299,9.96,126.084,"SDN_SanIsidro",35657,"Proposed",1,"Proposed","Surveyor","Del Carmen (Pob.)","Household head","M","Christian",NA,1,"caraga",1,-1,-1,-1,3,0,1,0,4,4,20,5,NA,NA,80,12,NA,NA,60,10,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,"Declined slightly","Declines slightly",0,0,0,"Insufficient",4,2,3,2,4,4,4,4,4,"Agree",0,"Agree",10,"Subnational Government","Strong",1,2,0,2,1,"Never",0,"Uncertain","Few per week",5,5,5,4,4,"2. Negative informal sanction",1,"1",0,"4","Own",0.976564042877258,-0.612178288310995,-0.603141680570095,-0.925577200516999,-1.18629996035972,-1.144450321836,0.590005956520217,-0.863467648623278,0.138977080494165,0.250553665377789,-2.35063308688055,-1.0283812680671,-0.47012661737611,-0.205676253613421
37,"00f54ec3-1985-43f4-b4d1-8718a2830ea5","PHL","Caraga","Surigao del Norte",NA,"Cabugao",1758,9.801759,126.002021,"SDN_DelCarmen",5450,"Established by FF",3,"Strengthened by FF","Surveyor","Cabugao","Household head","M","Christian",NA,1,"caraga",0,0,0,0,5,1,0,0,4,3,NA,NA,NA,NA,100,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"Declined slightly","Declines slightly",0,0,0,"Tight",4,4,4,4,3,4,4,5,4,"Neither",0,"Neither",7,"Fisheries Management Body","Moderate",8,8,NA,9,8,"Sometimes",0,"Uncertain","Few",4,5,4,4,5,NA,0,"0",1,"3","Own",-0.0549491163727232,0.600998194849636,0.688185238032578,0.0208472915768021,1.24813201548917,0.862510451458583,-1.09264564640186,-0.863467648623278,0.138977080494165,-0.836971463662,2.50321362357546,-1.79159722673439,0.500642724715093,-0.358319445346879
