"","ma_name","gov_law","gov_practice","country","x6_gender","x19_current_fish_catch","x49_enforcement_responsible","x54_food_availability","cluster_no"
"35","Baixo Pinda","True co-management","More bottom-up","MOZ","M","Improved slightly","Fisheries Management Body","OK","Resistant"
"36","Santa Monica","True co-management","More top-down","PHL","F","Improved slightly","Fisheries Management Body","Good","Resistant"
"37","Dapa","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","OK","Committed"
"38","Libertad","True co-management","More top-down","PHL","F","Declined slightly","Subnational Government","OK","Ambivalent"
"39","Kitti","More top-down","More top-down","FSM","M","Stayed the same","Subnational Government","OK","Ambivalent"
"40","RESEX Soure","More top-down","True co-management","BRA","F","Stayed the same","National Government","OK","Ambivalent"
"41","Del Carmen","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"42","Wangi-Wangi Selatan","True co-management","True co-management","IDN","M","Improved slightly","National Government","OK","Committed"
"43","Libertad","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","OK","Ambivalent"
"44","Santa Fe","More top-down","More bottom-up","HND","M","Declined slightly","Subnational Government","OK","Resistant"
"45","Baixo Pinda","True co-management","More bottom-up","MOZ","M","Declined slightly","Fisheries Management Body","OK","Supportive"
"46","San Benito","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Committed"
"47","Pandan","True co-management","More top-down","PHL","F","Declined slightly","Subnational Government","OK","Supportive"
"48","RESEX Marinha Mocapajuba","More top-down","True co-management","BRA","F","Improved slightly","Fisheries Management Body","Good","Supportive"
"49","Socorro","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Ambivalent"
"50","Libertad","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"51","Culasi","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","OK","Supportive"
"52","Nhagondzo","True co-management","More bottom-up","MOZ","M","Improved slightly","National Government","OK","Committed"
"53","RESEX São João da Ponta","More top-down","True co-management","BRA","M","Declined slightly","No enforcement system","OK","Supportive"
"54","San Isidro","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","OK","Ambivalent"
"55","San Benito","True co-management","More top-down","PHL","M","Improved slightly","Fisheries Management Body","Good","Supportive"
"56","Machangulo","True co-management","True co-management","MOZ","M","Declined a lot","Fisheries Management Body","OK","Committed"
"57","Pandan","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"58","Libertad","True co-management","More top-down","PHL","M","Declined slightly","National Government","OK","Committed"
"59","Sebaste","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Supportive"
"60","Serissa","True co-management","More bottom-up","MOZ","F","Declined a lot","Fisheries Management Body","Rather bad","Committed"
"61","Libertad","True co-management","More top-down","PHL","M","Improved slightly","Fisheries Management Body","OK","Committed"
"62","Socorro","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Supportive"
"63","Pilar","True co-management","More top-down","PHL","M","Improved slightly","Fisheries Management Body","Very good","Supportive"
"64","Pilar","True co-management","More top-down","PHL","M","Improved slightly","Fisheries Management Body","Very good","Supportive"
"65","San Isidro","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Good","Committed"
"66","Pilar","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Good","Resistant"
"67","Pilar","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Good","Resistant"
"68","RESEX Mãe Grande de Curuça","More top-down","True co-management","BRA","M","Declined slightly","National Government","OK","Ambivalent"
"69","San Benito","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","OK","Supportive"
"70","Dapa","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","Good","Ambivalent"
"71","RESEX Mãe Grande de Curuça","More top-down","True co-management","BRA","M","Stayed the same","No enforcement system","Rather bad","Supportive"
"72","Baixo Pinda","True co-management","More bottom-up","MOZ","M","Declined slightly","Fisheries Management Body","OK","Supportive"
"73","Santa Monica","True co-management","More top-down","PHL","F","Declined slightly","National Government","Good","Supportive"
"74","Guanaja","More top-down","More bottom-up","HND","M","Declined slightly","Subnational Government","Good","Resistant"
"75","Zavora","True co-management","More bottom-up","MOZ","M","Improved slightly","Fisheries Management Body","Good","Committed"
"76","San Isidro","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"77","Fequete","True co-management","More bottom-up","MOZ","M","Declined slightly","Fisheries Management Body","Rather bad","Committed"
"78","Del Carmen","True co-management","More top-down","PHL","F","Improved slightly","Fisheries Management Body","Good","Supportive"
"79","Del Carmen","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Committed"
"80","Serissa","True co-management","More bottom-up","MOZ","M","Declined a lot","Fisheries Management Body","Rather bad","Supportive"
"81","Dapa","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Rather bad","Ambivalent"
"82","Santa Monica","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Good","Resistant"
"83","RESEX Mãe Grande de Curuça","More top-down","True co-management","BRA","M","Improved slightly","National Government","OK","Resistant"
"84","RESEX São João da Ponta","More top-down","True co-management","BRA","M","Declined slightly","National Government","Very bad","Resistant"
"85","RESEX São João da Ponta","More top-down","True co-management","BRA","M","Stayed the same","National Government","OK","Committed"
"86","Pilar","True co-management","More top-down","PHL","F","Declined a lot","Subnational Government","OK","Ambivalent"
"87","Pilar","True co-management","More top-down","PHL","F","Declined a lot","Subnational Government","OK","Ambivalent"
"88","Petane","True co-management","More bottom-up","MOZ","M","Declined slightly","Fisheries Management Body","Rather bad","Ambivalent"
"89","RESEX Marinha Mocapajuba","More top-down","True co-management","BRA","F","Declined slightly","Subnational Government","Rather bad","Supportive"
"90","Baixo Pinda","True co-management","More bottom-up","MOZ","F","Improved slightly","Fisheries Management Body","OK","Supportive"
"91","Culasi","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","OK","Supportive"
"92","RESEX Mãe Grande de Curuça","More top-down","True co-management","BRA","F","Declined slightly","National Government","OK","Supportive"
"93","Socorro","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Supportive"
"94","Pilar","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Ambivalent"
"95","Pilar","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Ambivalent"
"96","Libertad","True co-management","More top-down","PHL","M","Improved slightly","Fisheries Management Body","Good","Committed"
"97","Nhagondzo","True co-management","More bottom-up","MOZ","M","Declined slightly","National Government","Good","Supportive"
"98","Teluk Kolono","More top-down","More top-down","IDN","M","Declined a lot","Fisheries Management Body","Good","Supportive"
"99","San Isidro","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Supportive"
"100","Machangulo","True co-management","True co-management","MOZ","F","Stayed the same","Fisheries Management Body","OK","Supportive"
"101","RESEX Soure","More top-down","True co-management","BRA","M","Stayed the same","National Government","OK","Ambivalent"
"102","Pandan","True co-management","More top-down","PHL","M","Declined a lot","Subnational Government","OK","Ambivalent"
"103","Mucocuene","True co-management","More bottom-up","MOZ","M","Declined slightly","Fisheries Management Body","Good","Committed"
"104","Fequete","True co-management","More bottom-up","MOZ","M","Declined a lot","Fisheries Management Body","Very bad","Supportive"
"105","RESEX Marinha Mocapajuba","More top-down","True co-management","BRA","F","Stayed the same","No enforcement system","Good","Ambivalent"
"106","Socorro","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Supportive"
"107","San Benito","True co-management","More top-down","PHL","M","Improved slightly","National Government","Good","Resistant"
"108","General Luna","True co-management","More top-down","PHL","F","Improved slightly","National Government","OK","Resistant"
"109","Pilar","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Resistant"
"110","Pilar","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Resistant"
"111","Culasi","True co-management","More top-down","PHL","M","Declined a lot","National Government","OK","Ambivalent"
"112","RESEX Gurupi-Piriá","More top-down","True co-management","BRA","M","Declined a lot","National Government","Good","Resistant"
"113","Santa Monica","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Ambivalent"
"114","Socorro","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","Rather bad","Supportive"
"115","RESEX Mãe Grande de Curuça","More top-down","True co-management","BRA","F","Stayed the same","Subnational Government","Rather bad","Supportive"
"116","San Isidro","True co-management","More top-down","PHL","F","Declined slightly","Subnational Government","OK","Ambivalent"
"117","Serissa","True co-management","More bottom-up","MOZ","F","Declined slightly","Fisheries Management Body","Rather bad","Supportive"
"118","General Luna","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Supportive"
"119","Libertad","True co-management","More top-down","PHL","M","Stayed the same","National Government","OK","Committed"
"120","Socorro","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","OK","Supportive"
"121","Memba","True co-management","More bottom-up","MOZ","M","Improved slightly","Fisheries Management Body","Good","Committed"
"122","Libertad","True co-management","More top-down","PHL","F","Declined a lot","Subnational Government","OK","Supportive"
"123","General Luna","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Supportive"
"124","San Benito","True co-management","More top-down","PHL","M","Improved slightly","National Government","Good","Supportive"
"125","Serissa","True co-management","More bottom-up","MOZ","F","Declined a lot","Fisheries Management Body","Rather bad","Supportive"
"126","Pandan","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","Good","Committed"
"127","Tsondzo","True co-management","More bottom-up","MOZ","M","Improved slightly","Fisheries Management Body","OK","Committed"
"128","Del Carmen","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Good","Ambivalent"
"129","Burgos","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Ambivalent"
"130","San Benito","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","OK","Supportive"
"131","General Luna","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","Rather bad","Ambivalent"
"132","Trujillo","More top-down","More top-down","HND","M","Declined a lot","Subnational Government","OK","Supportive"
"133","RESEX São João da Ponta","More top-down","True co-management","BRA","M","Declined slightly","Other","OK","Supportive"
"134","Pilar","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Supportive"
"135","Pilar","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Supportive"
"136","RESEX São João da Ponta","More top-down","True co-management","BRA","M","Declined a lot","National Government","Very bad","Resistant"
"137","Pilar","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Supportive"
"138","Pilar","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Supportive"
"139","RESEX Marinha Mocapajuba","More top-down","True co-management","BRA","F","Declined slightly","No enforcement system","OK","Resistant"
"140","Pilar","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","OK","Supportive"
"141","Pilar","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","OK","Supportive"
"142","San Isidro","True co-management","More top-down","PHL","M","Improved slightly","Fisheries Management Body","OK","Supportive"
"143","General Luna","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Ambivalent"
"144","RESEX Mãe Grande de Curuça","More top-down","True co-management","BRA","F","Declined a lot","National Government","OK","Supportive"
"145","Santa Monica","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","Good","Supportive"
"146","Santa Monica","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","Good","Supportive"
"147","Culasi","True co-management","More top-down","PHL","F","Declined slightly","Subnational Government","Rather bad","Supportive"
"148","Socorro","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"149","Del Carmen","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","OK","Committed"
"150","Wangi-Wangi Selatan","True co-management","True co-management","IDN","M","Declined slightly","Fisheries Management Body","OK","Supportive"
"151","Machangulo","True co-management","True co-management","MOZ","F","Declined a lot","Fisheries Management Body","Rather bad","Committed"
"152","Burgos","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Supportive"
"153","Tsondzo","True co-management","More bottom-up","MOZ","M","Declined slightly","Fisheries Management Body","Good","Supportive"
"154","Zavora","True co-management","More bottom-up","MOZ","M","Improved slightly","Fisheries Management Body","Good","Committed"
"155","Teluk Kolono","More top-down","More top-down","IDN","M","Declined slightly","Subnational Government","OK","Resistant"
"156","Culasi","True co-management","More top-down","PHL","M","Declined slightly","National Government","Good","Committed"
"157","Kitti","More top-down","More top-down","FSM","F","Declined a lot","Subnational Government","Rather bad","Resistant"
"158","RESEX Gurupi-Piriá","More top-down","True co-management","BRA","M","Declined slightly","National Government","OK","Supportive"
"159","General Luna","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Supportive"
"160","RESEX São João da Ponta","More top-down","True co-management","BRA","F","Stayed the same","National Government","Rather bad","Resistant"
"161","Burgos","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"162","Libertad","True co-management","More top-down","PHL","F","Declined slightly","Subnational Government","Rather bad","Ambivalent"
"163","Trujillo","More top-down","More top-down","HND","M","Declined a lot","No enforcement system","Rather bad","Supportive"
"164","RESEX Gurupi-Piriá","More top-down","True co-management","BRA","M","Declined slightly","National Government","Rather bad","Supportive"
"165","San Isidro","True co-management","More top-down","PHL","F","Improved heavily","Fisheries Management Body","OK","Supportive"
"166","Sebaste","True co-management","More top-down","PHL","M","Declined a lot","National Government","Good","Committed"
"167","Fequete","True co-management","More bottom-up","MOZ","M","Declined a lot","Fisheries Management Body","Very bad","Supportive"
"168","San Isidro","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","OK","Committed"
"169","Socorro","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Ambivalent"
"170","San Benito","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","OK","Ambivalent"
"171","Libertad","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","Good","Supportive"
"172","Baixo Pinda","True co-management","More bottom-up","MOZ","M","Declined slightly","Fisheries Management Body","OK","Resistant"
"173","Santa Fe","More top-down","More bottom-up","HND","M","Declined slightly","No enforcement system","OK","Supportive"
"174","Guanaja","More top-down","More bottom-up","HND","M","Declined slightly","Subnational Government","Good","Resistant"
"175","Memba","True co-management","More bottom-up","MOZ","M","Improved slightly","Other","Good","Resistant"
"176","Dapa","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Supportive"
"177","Fequete","True co-management","More bottom-up","MOZ","M","Declined a lot","Fisheries Management Body","Very bad","Committed"
"178","RESEX Soure","More top-down","True co-management","BRA","M","Declined slightly","National Government","OK","Committed"
"179","RESEX Soure","More top-down","True co-management","BRA","F","Declined slightly","National Government","OK","Ambivalent"
"180","Culasi","True co-management","More top-down","PHL","F","Stayed the same","National Government","Good","Committed"
"181","Libertad","True co-management","More top-down","PHL","F","Improved slightly","Subnational Government","Good","Supportive"
"182","RESEX Soure","More top-down","True co-management","BRA","M","Declined slightly","Subnational Government","Rather bad","Supportive"
"183","San Isidro","True co-management","More top-down","PHL","F","Declined slightly","Subnational Government","Rather bad","Ambivalent"
"184","RESEX Mãe Grande de Curuça","More top-down","True co-management","BRA","M","Declined a lot","National Government","Very bad","Resistant"
"185","Sebaste","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Supportive"
"186","Del Carmen","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","Good","Resistant"
"187","Libertad","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","OK","Resistant"
"188","Teluk Kolono","More top-down","More top-down","IDN","M","Declined slightly","Fisheries Management Body","OK","Committed"
"189","RESEX Soure","More top-down","True co-management","BRA","M","Declined slightly","National Government","Good","Resistant"
"190","General Luna","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","OK","Ambivalent"
"191","RESEX Gurupi-Piriá","More top-down","True co-management","BRA","M","Declined slightly","No enforcement system","OK","Resistant"
"192","Pomene","True co-management","More bottom-up","MOZ","M","Improved slightly","Subnational Government","Good","Committed"
"193","San Benito","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","Good","Supportive"
"194","San Isidro","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Supportive"
"195","Libertad","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","OK","Ambivalent"
"196","Socorro","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Ambivalent"
"197","Teluk Kolono","More top-down","More top-down","IDN","M","Declined slightly","No enforcement system","OK","Resistant"
"198","Santa Monica","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Rather bad","Resistant"
"199","Farol","True co-management","More bottom-up","MOZ","M","Declined a lot","Fisheries Management Body","Very bad","Ambivalent"
"200","San Isidro","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Supportive"
"201","Dapa","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Supportive"
"202","Ngiwal","More top-down","More top-down","PLW","M","Declined a lot","National Government","Good","Committed"
"203","Serissa","True co-management","More bottom-up","MOZ","F","Declined a lot","Fisheries Management Body","Rather bad","Supportive"
"204","Culasi","True co-management","More top-down","PHL","M","Declined a lot","National Government","OK","Supportive"
"205","San Isidro","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","Rather bad","Supportive"
"206","Socorro","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Supportive"
"207","RESEX São João da Ponta","More top-down","True co-management","BRA","F","Declined slightly","National Government","OK","Supportive"
"208","Sebaste","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Committed"
"209","RESEX São João da Ponta","More top-down","True co-management","BRA","M","Declined slightly","No enforcement system","OK","Supportive"
"210","RESEX Soure","More top-down","True co-management","BRA","M","Declined slightly","Subnational Government","Rather bad","Supportive"
"211","Sebaste","True co-management","More top-down","PHL","M","Stayed the same","National Government","OK","Supportive"
"212","Puerto Cortes","More top-down","True co-management","HND","M","Stayed the same","No enforcement system","Very good","Resistant"
"213","Teluk Kolono","More top-down","More top-down","IDN","M","Stayed the same","Fisheries Management Body","Good","Supportive"
"214","Culasi","True co-management","More top-down","PHL","F","Declined slightly","National Government","OK","Resistant"
"215","Socorro","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","OK","Supportive"
"216","RESEX Mãe Grande de Curuça","More top-down","True co-management","BRA","F","Declined a lot","No enforcement system","OK","Resistant"
"217","Pilar","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Ambivalent"
"218","Pilar","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Ambivalent"
"219","Santa Fe","More top-down","More bottom-up","HND","M","Declined slightly","No enforcement system","OK","Supportive"
"220","Petane","True co-management","More bottom-up","MOZ","M","Declined a lot","Fisheries Management Body","Rather bad","Committed"
"221","Memba","True co-management","More bottom-up","MOZ","M","Stayed the same","Other","Good","Resistant"
"222","General Luna","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Ambivalent"
"223","Dapa","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"224","Burgos","True co-management","More top-down","PHL","F","Declined a lot","Fisheries Management Body","OK","Committed"
"225","San Isidro","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Supportive"
"226","Del Carmen","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","OK","Committed"
"227","RESEX São João da Ponta","More top-down","True co-management","BRA","M","Improved slightly","No enforcement system","Good","Supportive"
"228","Vuca","True co-management","More bottom-up","MOZ","M","Declined slightly","Fisheries Management Body","OK","Ambivalent"
"229","Santa Monica","True co-management","More top-down","PHL","F","Improved slightly","National Government","Good","Resistant"
"230","Teluk Kolono","More top-down","More top-down","IDN","F","Declined slightly","No enforcement system","OK","Resistant"
"231","Ngiwal","More top-down","More top-down","PLW","M","Declined a lot","Fisheries Management Body","Good","Supportive"
"232","Del Carmen","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","OK","Supportive"
"233","Teluk Kolono","More top-down","More top-down","IDN","M","Stayed the same","Fisheries Management Body","OK","Committed"
"234","Socorro","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Ambivalent"
"235","San Isidro","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","OK","Ambivalent"
"236","Guanaja","More top-down","More bottom-up","HND","M","Declined a lot","No enforcement system","OK","Supportive"
"237","Santa Fe","More top-down","More bottom-up","HND","F","Declined slightly","No enforcement system","OK","Ambivalent"
"238","Farol","True co-management","More bottom-up","MOZ","M","Declined a lot","Fisheries Management Body","Very bad","Supportive"
"239","RESEX Marinha Mocapajuba","More top-down","True co-management","BRA","M","Declined a lot","National Government","Rather bad","Supportive"
"240","Santa Monica","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","Rather bad","Ambivalent"
"241","Santa Monica","True co-management","More top-down","PHL","M","Declined a lot","National Government","OK","Supportive"
"242","Santa Monica","True co-management","More top-down","PHL","F","Improved slightly","National Government","Good","Supportive"
"243","RESEX Soure","More top-down","True co-management","BRA","M","Stayed the same","Other","OK","Supportive"
"244","Santa Monica","True co-management","More top-down","PHL","F","Declined a lot","Fisheries Management Body","Good","Committed"
"245","San Benito","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Ambivalent"
"246","Trujillo","More top-down","More top-down","HND","M","Stayed the same","Myself","Very bad","Resistant"
"247","Mucocuene","True co-management","More bottom-up","MOZ","M","Declined slightly","Fisheries Management Body","Rather bad","Resistant"
"248","Pandan","True co-management","More top-down","PHL","M","Declined slightly","National Government","OK","Committed"
"249","Libertad","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","Good","Committed"
"250","San Benito","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","OK","Ambivalent"
"251","Culasi","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","Very good","Committed"
"252","General Luna","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"253","Serissa","True co-management","More bottom-up","MOZ","F","Declined a lot","Fisheries Management Body","Rather bad","Supportive"
"254","RESEX Soure","More top-down","True co-management","BRA","F","Declined slightly","Subnational Government","Rather bad","Supportive"
"255","Sebaste","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Supportive"
"256","Pomene","True co-management","More bottom-up","MOZ","M","Improved slightly","Fisheries Management Body","Rather bad","Supportive"
"257","Memba","True co-management","More bottom-up","MOZ","F","Stayed the same","Fisheries Management Body","Good","Committed"
"258","Santa Fe","More top-down","More bottom-up","HND","M","Declined slightly","No enforcement system","OK","Supportive"
"259","Sebaste","True co-management","More top-down","PHL","M","Declined slightly","Fisheries Management Body","Good","Ambivalent"
"260","Serissa","True co-management","More bottom-up","MOZ","F","Declined slightly","Fisheries Management Body","Rather bad","Supportive"
"261","RESEX Marinha Mocapajuba","More top-down","True co-management","BRA","M","Stayed the same","Subnational Government","Rather bad","Supportive"
"262","San Benito","True co-management","More top-down","PHL","F","Stayed the same","Fisheries Management Body","OK","Supportive"
"263","Mucocuene","True co-management","More bottom-up","MOZ","M","Declined slightly","Other","Rather bad","Ambivalent"
"264","Dapa","True co-management","More top-down","PHL","M","Stayed the same","Subnational Government","OK","Supportive"
"265","Santa Monica","True co-management","More top-down","PHL","F","Improved slightly","Fisheries Management Body","OK","Ambivalent"
"266","Mucocuene","True co-management","More bottom-up","MOZ","M","Declined slightly","Fisheries Management Body","Rather bad","Supportive"
"267","RESEX Soure","More top-down","True co-management","BRA","F","Declined slightly","National Government","Good","Committed"
"268","Santa Fe","More top-down","More bottom-up","HND","M","Declined slightly","Subnational Government","OK","Supportive"
"269","Culasi","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","Good","Supportive"
"270","RESEX São João da Ponta","More top-down","True co-management","BRA","F","Declined slightly","Subnational Government","Rather bad","Supportive"
"271","Farol","True co-management","More bottom-up","MOZ","M","Declined a lot","Fisheries Management Body","Very bad","Committed"
