"","x1","submissionid","country","level1_name","level2_name","level4_name","level4_id","lat","lon","ma_name","ma_area","ma_status","username","x1_interviewer","x2_affiliation","x3_community","x4_ma_r_mb","x5_hh_status","x6_gender","x8_religion","x8_religion_other","x9_region_member","x9_region_name","x44_meeting_attendance","x45_leadership_position","x48_enforcement_participation","x53_encourage_regulations","x61g_fishing_change_behavior","x43_ma_benefits","x46_represent_interests","x52_ma_benefit_5yrs","x61a_current_regulations","x61f_rights_distribution_fair","x30_trust_local_decision","x67_reserve_boundry","x11a_income_farming","x11a_months_farming","x11b_income_harvesting","x11b_months_harvesting","x11c_income_fishing_artisanal","x11c_months_fishing_artisanal","x11d_income_fishing_industrial","x11d_months_fishing_industrial","x11e_income_buying_trading","x11e_months_buying_trading","x11f_income_processing","x11f_months_processing","x11g_income_aquaculture","x11g_months_aquaculture","x11h_income_extraction","x11h_months_extraction","x11i_income_tourism","x11i_months_tourism","x11j_income_other_wage","x11j_months_other_wage","x11k_income_other","x11k_months_other","x11k_other_source","x12a_fishing_men","x12b_fishing_women","x12c_fishing_children","x19_current_fish_catch","x22_catch_5yrs","x17_fishing_low_profit","x18_fishing_high_profit","x23_job_secure","x26_fishing_income_save","x28_buyer_loans","x29_family_income","x30_trust_community","x30_trust_community_neighbors","x30_trust_fishers_community","x30_trust_fishers_other","x30_trust_ngo","x30_trust_regional_decision","x30_trust_religious_leaders","x30_trust_village_alert","x31_my_community_ability","x38_reserve_fishing_allowed","x39_ma_boundaries_aware","x40_reserve_boundaries_aware","x49_enforcement_responsible","x50_ma_punishment","x51a_fishers_gear_not_permitted","x51b_fishers_reserves","x51c_fishers_ma_area","x51d_fishers_violate_fish_size","x51e_fishers_caught","x55_worry_food","x56_reduce_meal_size_adult","x59_food_procurement","x60_hh_fish_consumption","x61b_catch_recording","x61c_community_participation","x61d_strong_enforcement","x61h_individual_behavior","x61i_help_neighbors","x66_reaction_fishing_reserve","x66_response_fishing_reserve","x62_reserve_compliance","x63_fishing_in_reserve","x64_wrong_fishing_reserve","x21_boat_owner_status","x32_fishery_benefit_equal","x70_hh_average_income","x7_gender","x7_age","x7_relationship","x7_education","household_size","x44_scaled","x45_scaled","x48_scaled","x53_scaled","x61g_scaled","x43_scaled","x46_scaled","x52_scaled","x61a_scaled","x61f_scaled","x30a_scaled","eng_sum","agree_sum","eng_mean","agree_mean","raw_agree_mean","raw_eng_mean","cluster_no"
"11",13,"007a580b-8b64-4c04-8419-23e40863db6f","MOZ","Inhambane","Inharrime","Zavora",235,-24.519639,35.194556,"Zavora",9597,"Proposed","zavora@clrmail.com","Arlindo Luis munguambe","Community Member","Zavora",NA,"Household head","M","Christian",NA,0,NA,1,1,1,0,4,1,1,1,3,4,5,NA,NA,NA,NA,NA,100,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"Improved slightly","Stays the same","1-2 per week","3-4 per week",0,1,0,"Sufficient",5,2,5,2,4,5,5,5,"Strongly agree",0,"Agree",10,"Fisheries Management Body","Severe",0,0,0,0,0,"Sometimes",1,"Uncertain","Few per month",3,4,4,4,4,NA,NA,NA,NA,NA,"Own",-1,2000,"F",3,"Child","No formal",8,0.978666720331889,1.81557559985818,1.98281393624615,0.0227416487419967,0.0314776537862151,0.860974649689123,0.591813887830373,0.85733174956633,-0.974697369768959,0.251188145735725,1.28723970173683,4.83127555896443,2.87385076478942,0.966255111792886,0.478975127464903,2.5,1.4,"3"
"12",15,"0082ef4f-74ac-430a-bfab-71bca5e666b7","BRA","Pará","Soure","Umarizal",4109,-0.723083,-48.509056,"RESEX Soure",27464,"Established","brazil1@rare.org","Jaíne Santiago","Surveyor","Umarizal",NA,"Child","M","Evangélico",NA,0,NA,1,-1,-1,1,5,0,1,1,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,"Stayed the same","Stays the same","1-2 per week","3-4 per week",1,0,0,"Tight",4,4,4,4,4,5,5,5,"Agree",-1,"Neither",0,"National Government","Strong",0,0,5,10,0,"Sometimes",0,"Confident not","More than few per week",5,5,5,5,5,NA,NA,NA,NA,NA,"Collective",1,600,"F",6,"Grandchild","Primary school",4,0.978666720331889,-0.611918240625074,-0.602278281162057,0.968751728654402,1.24979971467703,-1.14856817451973,0.591813887830373,0.85733174956633,1.25525790797025,1.34089422436118,1.28723970173683,1.98302164187619,4.18396929694523,0.396604328375238,0.697328216157538,2.83333333333333,1,"1"
"13",16,"008451c8-a3bd-4d56-a8fc-9faf38ed75ce","IDN","South East Sulawesi","Konawe Selatan","Rumba-Rumba",137,-4.427403,122.80787,"Teluk Kolono",3424,"Proposed","indonesia2@rare.org","018La Raisi S.Pi","Surveyor","Rumba-Rumba",NA,"Spouse","F","Muslim",NA,1,"amolengo",-1,-1,-1,-2,4,0,0,0,2,4,1,NA,60,5,7,3,33,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Improved slightly","Declines slightly","More than 1-2 times per week","More than 1-2 times per week",1,0,0,"Sufficient",2,3,2,3,2,2,4,4,"Neither",0,"Agree",NA,"Subnational Government","No punishment",0,NA,0,0,NA,"Sometimes",0,"Uncertain","More than few per week",4,2,5,4,4,NA,NA,NA,NA,NA,"Own",0,1e+06,"M",15,"Child","Secondary school",6,-1.08434325939685,-0.611918240625074,-0.602278281162057,-1.86927851108281,0.0314776537862151,-1.14856817451973,-1.09135775097665,-0.86235442317803,-2.08967500863856,0.251188145735725,-2.9623459926304,-4.13634063848058,-7.90311320420765,-0.827268127696116,-1.31718553403461,1.16666666666667,-0.2,"2"
"14",17,"0085377f-c960-4a9f-b427-c1ea19f47ec3","PHL","Surigao del Norte","Burgos","Poblacion 2",1693,10.011788,126.069294,"Burgos",9653,"Proposed","ramolo@rare.org","Mark Anthony Golo","Surveyor","Poblacion 2",NA,"Spouse","F","Christian",NA,1,"CARAGA",1,1,1,0,3,1,1,0,5,5,5,1,50,3,NA,NA,50,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Declined slightly","Stays the same","1-2 per week","More than 1-2 times per week",1,0,1,"Insufficient",5,NA,4,3,5,5,5,5,"Agree",0,"Strongly agree",10,"National Government","Strong",0,0,0,0,0,"Sometimes",1,"Uncertain","Few per month",4,5,5,5,5,NA,1,"1",0,"5","Not by boat",1,3000,"F",7,"Child","Primary school",2,0.978666720331889,1.81557559985818,1.98281393624615,0.0227416487419967,-1.1868444071046,0.860974649689123,0.591813887830373,-0.86235442317803,1.25525790797025,1.34089422436118,1.28723970173683,3.61295349807362,4.47382594840972,0.722590699614723,0.745637658068287,2.83333333333333,1.2,"3"
"15",18,"008b5ff6-7152-4c3a-bb4d-ba9e5c15f4a8","HND","Colón","Santa Fé","Plan Grande",566,15.8872,-86.169267,"Santa Fe",51923,"Proposed","mar6@rare.org","Rodeney Kelly Lopez","Community Member","Plan Grande","Reserve","Household head","M","Christian",NA,1,"plangrandeño",-1,-1,-1,-1,4,1,-1,1,2,4,2,0,5,3,NA,NA,15,3,70,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,"aveses hace fletes en su embarcaciones",1,0,2,"Declined slightly","Declines a lot","Once or never","A few times",0,1,1,"Tight",4,2,2,2,4,2,4,4,"Disagree",1,"Agree",10,"National Government,Subnational Government","Moderate",7,4,0,10,3,"Sometimes",0,"High chance","More than few per week",2,4,4,4,4,"2. Aplicaría una sanción negativa informal",1,"1",0,"2","Employee",1,3750,"M",12,"Child","Primary school",4,-1.08434325939685,-0.611918240625074,-0.602278281162057,-0.923268431170409,0.0314776537862151,0.860974649689123,-2.77452938978367,0.85733174956633,-2.08967500863856,0.251188145735725,-1.8999495690386,-3.19033055856818,-4.79465942246966,-0.638066111713635,-0.799109903744943,1.5,0,"2"
"16",21,"0097b5b7-dd42-45e4-a439-81d155129091","BRA","Pará","São Caetano de Odivelas","Cachoeira",3958,-0.724017,-48.023922,"RESEX Marinha Mocapajuba",21029,"Established","brazil1@rare.org","Josele Santos","Surveyor","Cachoeira",NA,"Spouse","F","Evangélico",NA,NA,NA,-1,-1,-1,-1,2,0,0,0,2,1,2,NA,30,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"Declined slightly","Declines slightly","3-4 per week","3-4 per week",0,0,0,"Tight",2,5,3,3,2,1,2,4,"Neither",-1,"Neither",8,"National Government","Weak",1,2,3,0,5,"Often",0,"Uncertain","Once or never",3,3,1,2,2,NA,NA,NA,NA,NA,"Collective",-1,300,"M",33,"Household head","Primary school",5,-1.08434325939685,-0.611918240625074,-0.602278281162057,-0.923268431170409,-2.40516646799541,-1.14856817451973,-1.09135775097665,-0.86235442317803,-2.08967500863856,-3.01793009014063,-1.8999495690386,-5.62697468034981,-10.1098350164922,-1.12539493606996,-1.6849725027487,0.833333333333333,-0.4,"2"
"17",24,"009f4167-979f-4110-9441-f2b113df3e8d","PHL","Antique","Sebaste","Abiera",2164,11.572117,122.112752,"Sebaste",19080,"Proposed","ramolo@rare.org","Roselle D. Estupa","Surveyor","Abiera",NA,"Child","M","Christian",NA,1,"Antique",1,-1,1,0,4,1,1,1,5,4,4,1,NA,NA,NA,NA,100,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,"Declined slightly","Stays the same","Once or never","More than 1-2 times per week",1,1,1,"Tight",5,3,5,3,4,5,4,4,"Agree",0,"Agree",5,"Subnational Government","Moderate",0,0,0,0,0,"Sometimes",0,"Uncertain","More than few per week",5,5,5,4,4,"Negative formal sanction",1,"1",0,"3","Collective",1,2000,"F",59,"Spouse","Secondary school",4,0.978666720331889,-0.611918240625074,1.98281393624615,0.0227416487419967,0.0314776537862151,0.860974649689123,0.591813887830373,0.85733174956633,1.25525790797025,0.251188145735725,0.22484327814502,2.40378171848118,4.04140961893682,0.480756343696236,0.673568269822804,2.66666666666667,1,"3"
"18",26,"00adf347-1026-4494-9718-78ed4254e659","IDN","South East Sulawesi","Konawe Selatan","Lambangi",135,-4.38129,122.7423,"Teluk Kolono",3424,"Proposed","indonesia7@rare.org","014Azwar Sidik, S.Pi.M.P.","Surveyor","Lambangi",NA,"Household head","M","Muslim",NA,0,NA,1,1,1,1,5,1,1,1,4,4,4,NA,30,6,NA,NA,70,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Declined slightly","Improves slightly","A few times","More than 1-2 times per week",1,1,0,"Sufficient",4,4,4,2,4,4,5,2,"Agree",0,"Agree",NA,"Fisheries Management Body","Moderate",NA,NA,2,NA,NA,"Never",0,"Confident not","More than few per week",4,5,5,4,5,NA,NA,NA,NA,NA,"Own",0,5e+06,"F",76,"Parent","Primary school",4,0.978666720331889,1.81557559985818,1.98281393624615,0.968751728654402,1.24979971467703,0.860974649689123,0.591813887830373,0.85733174956633,0.140280269100647,0.251188145735725,0.22484327814502,6.99560769976765,2.92643198006722,1.39912153995353,0.487738663344536,2.5,1.8,"3"
"19",27,"00aeddee-cbcf-4444-bb4f-2bb07aa070e5","PHL","Surigao del Norte","San Isidro","Pacifico",2131,9.980543,126.080277,"San Isidro",9416,"Proposed","ramolo@rare.org","Sharmine L. Salubre","Surveyor","Pacifico","All 3","Spouse","F","Christian",NA,1,"Caraga",-1,-1,-1,-1,5,1,1,1,4,4,5,1,50,4,NA,NA,50,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"Stayed the same","Stays the same","1-2 per week","More than 1-2 times per week",0,0,0,"Tight",4,3,3,3,4,5,5,4,"Agree",0,"Agree",10,"Subnational Government","Moderate",0,0,0,0,0,"Never",0,"Uncertain","Few per week",4,4,NA,5,4,NA,0,"1",0,"5","Collective",0,6000,"M",60,"Household head","Secondary school",3,-1.08434325939685,-0.611918240625074,-0.602278281162057,-0.923268431170409,1.24979971467703,0.860974649689123,0.591813887830373,0.85733174956633,0.140280269100647,0.251188145735725,1.28723970173683,-1.97200849767736,3.98882840365902,-0.394401699535473,0.664804733943171,2.66666666666667,0.2,"4"
"20",30,"00c7d068-db1e-4811-b7c5-0e2d412a3344","HND","Colón","Santa Fé","Quinito",571,15.880617,-86.197675,"Santa Fe",51923,"Proposed","mar15@rare.org","Irwin Miranda","Community Member","Quinito","Reserve","Child","M","Christian",NA,1,"quinito",1,-1,-1,0,4,1,0,1,4,4,4,0,40,4,NA,NA,60,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,"Declined slightly","Stays the same","1-2 per week","More than 1-2 times per week",1,0,0,"Tight",4,4,4,4,4,4,5,4,"Neither",0,"Agree",8,"Myself","Strong",2,2,2,NA,1,"Never",0,"Confident not","More than few per week",4,4,4,4,4,"negative informal sanction",1,"1",0,"4","Own",1,1250,"M",19,"Child","Secondary school",1,0.978666720331889,-0.611918240625074,-0.602278281162057,0.0227416487419967,0.0314776537862151,0.860974649689123,-1.09135775097665,0.85733174956633,0.140280269100647,0.251188145735725,0.22484327814502,-0.18131049892703,1.24326034126019,-0.0362620997854061,0.207210056876699,2.33333333333333,0.6,"4"
