submissionid,ma_id,14_responsibility
22a30cb4-a8e3-4ad5-9065-96bfd8c9158c,165,caring for house
773f32ac-d4e3-4d7a-8d66-3eea10fbe9ae,165,Other
34b4dc23-2646-4e4b-8a3e-f16803b2dff1,165,Caring for children
a0f9d855-f9d0-40e9-8a6d-d879ba53a521,165,Preparing gear for fishing
02294751-6876-4c96-a07d-945ae85f4150,164,caring for house
d019ab64-c765-458c-ba54-475efb7ac8c7,164,caring for house
75f7549f-c7a1-4230-9236-d55923b7f2d6,164,Other
2fbb1af5-51dd-4ad2-91f3-27fbebfe0932,164,Selling fish
2fbb1af5-51dd-4ad2-91f3-27fbebfe0932,164,Preparing gear for fishing
8248bfaa-2d38-45b4-b329-789e0bf29019,164,Cleaning fish
a64b2796-8a20-4927-85c2-116a3a569002,164,caring for house
3c30462d-8f76-462a-8299-e029b4949073,164,Cleaning fish
61f7a308-eff1-4a6a-a0ad-3f70c6c8bab3,164,Caring for children
61f7a308-eff1-4a6a-a0ad-3f70c6c8bab3,164,Cleaning fish
30230b79-332c-4fbe-94b7-21e275d98876,164,caring for house
84a5e05a-8806-46d9-aac9-f3b3f3075dcb,164,Other
abb7ac9c-d837-481c-a16e-0349cc1bc6d9,164,Cleaning fish
2d7d59ee-0cc7-44b4-ab98-5ab01eeeeb91,164,Preparing gear for fishing
65ca941a-e1fb-4edf-afac-96cea424e304,164,Preparing gear for fishing
a7b606e4-91f6-4298-9e5c-030222d11f3b,164,Caring for children
fdb01694-f613-4a82-b9b5-3a54ac36e227,164,Caring for children
20c35efe-e40a-4477-b0f8-e19e1ce8493b,164,Cleaning fish
146ffff7-06fa-4f6a-a5a6-8bada01159c2,164,caring for house
2007faf1-859e-4f5c-ae09-f57b56ba0c2d,164,Caring for children
1e10eae9-e408-45f4-a601-a03fcd1cd7ba,173,Preparing gear for fishing
b8cac438-a4c1-4e0a-b931-6164418e13a5,173,caring for house
da5bdc7a-47e4-4586-a4c3-2ac69f6385c2,173,caring for house
18ec2db2-ab89-4d19-9af1-fa8f940c8dc4,173,caring for house
4b5d0a89-cb8d-4c4e-b5ab-1b671706bf0d,173,caring for house
896a05d8-6e8f-4331-89fb-01e23945268c,173,Caring for children
10ca3b36-2673-4644-8f4d-884960f9b9dc,173,Selling fish
77d9e2c5-d733-452c-823d-3f17334b464a,173,Preparing gear for fishing
f52ced72-a044-4919-b464-cff2095bcd9e,173,Selling fish
83c72148-2ed4-46d6-8ad7-33c08589c5fd,173,caring for house
390562a8-e81a-41ce-8b28-9294f043346c,173,Caring for children
0e5f09c9-3171-44ff-8969-4132e02d65c4,173,Other
921d5c84-fb1d-472d-a630-7e1735a37969,173,caring for house
530caa42-b5b4-4312-aa7e-471f5d16f767,173,caring for house
3f7a8c23-5248-4208-afe2-42a24dcd86b2,173,caring for house
0a2a2c49-7626-44af-ade9-24936eae2a8a,173,Caring for children
56ab2733-a19d-4a36-9656-35037c41d0d3,173,caring for house
56ab2733-a19d-4a36-9656-35037c41d0d3,173,Caring for children
4f0a4273-f597-45fb-9e83-57c91217976b,173,caring for house
08669f43-03cf-4abf-995a-a501a336dfb9,173,Other
dd96b547-7671-4cdb-9efb-db3f291f0363,173,Other
388e55ec-9618-4e18-9381-897c37a04e0e,173,Cleaning fish
75dd0b4c-859f-44e9-8325-adddfc01c767,173,caring for house
1f0bb365-fd94-4028-a638-4a9fcbcaa78e,173,Preparing gear for fishing
98050631-8260-4628-b68d-cf2b91bcac79,173,Caring for children
464a27ae-1145-4d84-805c-48c9a468563f,173,caring for house
01379920-a897-47b3-bac3-27b44cff88ee,173,Preparing gear for fishing
8e790e0e-0d2a-443c-8ba9-1019ce9b052b,173,Caring for children
a9d5ce83-227d-49cd-8335-f11732ce8825,173,caring for house
a9d5ce83-227d-49cd-8335-f11732ce8825,173,Other
a9d5ce83-227d-49cd-8335-f11732ce8825,173,Caring for children
7c17b8f3-6e5d-4b36-9530-0dd025d990bb,173,Caring for children
994f92ba-fe20-42c1-a239-134918fd3cd1,173,Cleaning fish
994f92ba-fe20-42c1-a239-134918fd3cd1,173,Selling fish
fca27c44-52d9-41ba-9d3e-b401cfef760f,173,Selling fish
427b3563-c7db-4bc5-b9b8-148914e2b2a0,173,Cleaning fish
bae5e095-dc2b-4962-9efa-f5f0c1bee1cd,173,Other
3d10dfe1-24b1-4e40-8e61-378ffed5d28e,173,Selling fish
2166f289-d782-4c4a-8c65-67d832811e07,173,caring for house
1fc548d9-423e-4259-9efc-bc814647de90,173,Preparing gear for fishing
f1f3a9cb-55f4-4ddc-bfed-33dcac1a738b,173,Preparing gear for fishing
a257b682-c6d9-4e18-8378-d7471984a67f,173,Selling fish
0f32b086-b1ed-4b3e-b152-114901cb1402,173,Caring for children
a27cc38f-ca25-480f-8db6-cf19c791b353,172,Caring for children
850d219d-3a6d-4080-ac29-ea5e51cfc54d,172,caring for house
aa4a4e06-a992-4686-b1d1-9381de44131e,172,caring for house
ecdf8a25-d41b-4838-b4a7-ba63f97d3253,171,caring for house
9ed76cba-7f72-443d-8639-b6a4f0522b09,171,caring for house
4fd56384-728e-4c63-b01d-1270c2cc091f,171,Caring for children
f5f08e01-56f9-4db0-8eb0-4f26f98510b2,171,caring for house
7b09a4e2-8c69-4859-a9ef-45042d52746b,171,Caring for children
ebb81987-38a2-409f-b56b-f7d6523a7a81,171,caring for house
d8f98769-9207-4a33-9b57-7d64ccfb74c2,165,Preparing gear for fishing
3ebb5bf9-fea7-4e29-9a90-eece13fe367c,171,Caring for children
ded1d624-4455-4ea6-8ec5-ff28a6bd56d0,171,caring for house
507c9654-0f87-4050-90b5-b8b92f452f31,171,Caring for children
9e0fe92d-c23b-4e60-89e0-2378ae0cd5f3,171,caring for house
67a2e982-274e-436c-9e7c-5def54b2dee2,171,caring for house
44aa5c47-49c7-4171-bc6d-f4ca4ebac033,165,Caring for children
29d7f113-cf79-4894-a99f-311c71387da5,165,Preparing gear for fishing
6654da72-0aa4-46cd-a245-257226b58644,165,caring for house
977303de-0afe-4c2c-a55a-aa1c14d0a44b,171,caring for house
55ad2cef-37be-48cb-a689-4bb1547a22f3,171,Cleaning fish
71f3b265-3174-493a-83aa-fbc6e33b4b3f,171,caring for house
9c6c7291-abb9-41a1-94a8-6e95b674f369,171,Caring for children
ea14c800-21c2-41d8-86d7-2ec43a8bd524,171,caring for house
6576d8a2-88c9-44cb-b1b3-03aa541e9235,171,Preparing gear for fishing
ba308a81-5afc-48ce-9d66-03ac38611cdb,165,caring for house
0c7fe56c-2bbf-40d4-bed6-9f782e9add90,165,caring for house
a8bf83f7-9d3c-44bc-b94e-82493fe011cb,165,caring for house
74197978-7757-4c7a-9264-0fd15a1dd1bb,171,Caring for children
a08d3bab-11d1-41fe-a127-db77b9f6374e,171,caring for house
b85b92c3-5e58-439f-8ba4-568cb8bb4c9f,171,caring for house
be95d05f-1506-4d3a-ac0c-6093ed6619ad,171,Preparing gear for fishing
2fff7234-4d70-491d-b528-83b568bd2c05,171,Cleaning fish
035c84c6-6215-459f-8fb3-65c2b6945fa4,165,Caring for children
de120e96-6196-4e10-8344-d80de9ee355a,171,caring for house
9dd2ed88-5af4-4983-adb3-49c2e578f386,171,caring for house
9e410ff3-3984-46f6-9fc0-51519c039055,171,caring for house
f1abeefa-918a-4803-9f30-5753fe7641d1,171,caring for house
16b9d50f-0ebe-44fb-96ac-2dc4803aa886,171,Caring for children
43d45379-a4d3-46a3-bde9-7973a73eebba,171,Preparing gear for fishing
e8168fb9-eb70-4346-8f76-b6ab095595c5,171,Preparing gear for fishing
045e05a2-da0a-44d7-8a18-4eb41201f2d1,165,caring for house
f894054f-8194-42ba-9afd-1d3b5d4c68a7,165,caring for house
5d98d575-cb05-4e44-b6e3-82e673e3ae4c,165,caring for house
c9a7e2c6-5277-45c0-a444-65935bf26aed,165,Caring for children
7acf9477-f813-49b9-876d-660030999ecd,165,caring for house
84b6c5ba-cef0-4bdd-80bf-b5b970faffd5,165,caring for house
9c6ba031-58bb-48ff-a386-1519e23e9caa,165,Other
1ea92d14-d014-4c58-80f6-08f4a242ad9f,165,Caring for children
d0c27ca5-ec69-43e8-9be8-e65bf268b651,165,Caring for children
64b79f52-5a8c-4088-8f11-2837f31f88e6,165,Caring for children
6e6edfbf-f930-4612-8ce3-ca45f5abc7a1,165,caring for house
a8170e5d-4b41-439f-946f-401eba91325f,165,Caring for children
d1c67b21-dd22-489b-b25a-013db2faef5c,165,Caring for children
564207cd-327e-4538-97be-7f5c90c0a274,165,Caring for children
564207cd-327e-4538-97be-7f5c90c0a274,165,Preparing gear for fishing
5c471734-1464-4ca9-b4fc-0e2f7975606c,161,caring for house
f93a7071-ba19-437a-b89a-8a3449f90ebf,165,caring for house
e63585cc-e071-4d36-820b-30db24994d7a,165,caring for house
18e15e6f-fd3a-46ba-83ce-48fd15f5d6ba,165,caring for house
79b59351-c01b-4041-9a17-4fd60a533a80,165,Caring for children
4b67d0ee-4405-4135-982d-2d3dd1b5d222,165,Caring for children
c03218aa-2992-48a6-8fe7-95d3eaba9da4,165,Preparing gear for fishing
028d8d59-c4d9-48ec-a698-4aee0496ba6d,165,Caring for children
47e73fe8-c240-41d0-bac5-ca1147220d8d,165,caring for house
657403e7-8f0e-4d75-879b-04f9890b248b,164,Caring for children
6718e194-7e0d-4b51-aa6b-314ab8dcd3fd,164,caring for house
75f7549f-c7a1-4230-9236-d55923b7f2d6,164,caring for house
26f7ab69-dca5-46be-bf39-4c3d3a98811a,164,caring for house
478f31ef-2d09-4028-9509-57c5a8bd3a69,164,Caring for children
dc23a08b-3ae8-4a2b-874b-311144c1cc7c,164,caring for house
e5186b90-3401-46e2-90aa-169872763914,164,Cleaning fish
bad65fd5-6ad2-4ae2-a530-b248c9adca86,164,caring for house
e1bc2a09-3996-4754-a23a-b62f5769cbe4,164,Cleaning fish
0986e98e-421e-4c36-90fa-1ef007599b37,164,caring for house
654e2aa9-001d-49b0-af68-fbac1b3ac94c,164,caring for house
43de9c23-e734-4506-9730-35988571f2d4,164,Caring for children
f124ae80-765d-4f8f-807f-ea9349d7ec55,164,Cleaning fish
e9402efe-7cd3-4c94-b801-ecac35f5672e,164,caring for house
1c56cdc8-047c-4f92-9872-3b3a0c968833,164,caring for house
626903fb-5520-4195-b420-93f7fdabd186,164,caring for house
626903fb-5520-4195-b420-93f7fdabd186,164,Other
2fcbdcf4-96a1-40cd-8446-2115b9aea0e7,164,Cleaning fish
08c90426-1c77-40b3-8763-8155acc863c7,164,caring for house
e7aed27a-09b8-4c59-a76b-fd64a3fcd3a6,164,caring for house
c7ab071a-aa49-41d8-be1c-8c663650f8c3,164,Caring for children
1e10eae9-e408-45f4-a601-a03fcd1cd7ba,173,caring for house
b337412a-7a5c-4a1c-9566-f45d6a13d35b,173,caring for house
4fbd67c6-83e4-47cb-90c2-98d48d343a2b,173,caring for house
6bf7162b-3dc5-433f-a9f4-4b1291b73c5d,173,Caring for children
c8016596-92fe-4b5e-94f2-cf4ad50d48bc,173,caring for house
abeed387-4652-456a-944a-ea6394e37c41,173,caring for house
0082ef4f-74ac-430a-bfab-71bca5e666b7,173,Cleaning fish
0082ef4f-74ac-430a-bfab-71bca5e666b7,173,Preparing gear for fishing
78b9a64f-6491-4dac-8cc3-a0674b16c41d,173,caring for house
957a5fcd-69b3-42e0-b9ae-06b992b309c5,173,caring for house
0a5d4bfc-35f6-4a3b-a7e4-d7fc2299e229,173,caring for house
861cccff-75d9-4cdc-abac-0e5814916f62,173,Caring for children
bd196436-0fca-40df-b80f-293c1de5ffbb,173,caring for house
72fc4db0-12ef-4167-8123-4956f13ea4d1,173,caring for house
5117e153-ca03-45bd-a077-a98b0a7d0cbb,173,Caring for children
0981048b-023a-4a89-bb82-e1bd3b7b8c94,173,caring for house
d3588343-79ed-45b8-826e-0af9a3742a1b,173,Cleaning fish
e5f01b31-263a-484c-84e5-89a3e0f5734a,173,Caring for children
a5a85f2c-5176-4e1c-8acd-293e0076d199,173,Other
ed87c717-2ed0-4cd8-a473-7b5b8552a2da,173,Caring for children
921d5c84-fb1d-472d-a630-7e1735a37969,173,Other
991bee55-2b2f-4f41-9332-f8033ed1d4d7,173,caring for house
dd96b547-7671-4cdb-9efb-db3f291f0363,173,Caring for children
6923773e-c6bf-4d20-a0df-623a4d8aaa2e,173,Other
554b0f80-1caa-4f9a-b41a-b27addef0ec0,173,Cleaning fish
876b1355-0f24-4145-8e1a-64c3ac52a800,173,caring for house
c4914716-d4f7-47c6-a9d6-028255fd8177,173,Cleaning fish
a9ca428c-cfc6-4897-b560-3afe1a937440,173,caring for house
f34572f8-035b-4d3b-b7cf-5f81967d73f8,173,caring for house
055db05b-3fa1-466c-80c2-dcf734d8c6a2,173,caring for house
8e790e0e-0d2a-443c-8ba9-1019ce9b052b,173,caring for house
cf7920c9-c7b6-4115-85a2-59d9de6efbbd,173,Caring for children
f479fee8-d3cb-4d26-a44e-aab14f1130fb,173,caring for house
6f6ad3c7-f7b7-4334-af41-e78fe627ff3a,173,caring for house
3d10dfe1-24b1-4e40-8e61-378ffed5d28e,173,Cleaning fish
87f7f07b-61a8-407c-a435-d9070b6ca970,173,Other
c046b9dd-70a2-4e4f-9316-4b77f9f11380,173,Caring for children
c046b9dd-70a2-4e4f-9316-4b77f9f11380,173,Preparing gear for fishing
a257b682-c6d9-4e18-8378-d7471984a67f,173,Caring for children
f992d028-a103-4794-95cb-c072918d92d7,173,Caring for children
922083a0-282b-4224-bb54-415ffbf43782,173,Caring for children
922083a0-282b-4224-bb54-415ffbf43782,173,caring for house
b70326d1-6f88-49a2-bf76-6d0f2f56ec0e,173,Selling fish
45007b46-cef1-4ee7-b4c6-47bc8be6c8c1,172,Caring for children
e4256e67-1830-4c7b-8206-700ad2249b06,172,Cleaning fish
724e5c8c-c4e8-4b37-b29b-fd4c7d8217a0,172,Cleaning fish
311c81c6-d5b6-4f3b-ac9a-b35b287af49a,172,Cleaning fish
a418bac3-7477-485b-b51c-bfb4755f6b20,172,caring for house
0786615a-8b43-4b08-b1f9-aef3baa44bbe,172,Caring for children
0786615a-8b43-4b08-b1f9-aef3baa44bbe,172,Cleaning fish
89f534eb-4a0c-41ad-a71c-6147d0bb87ee,172,Selling fish
e49639a4-0665-4aee-a522-f68015a66765,172,Cleaning fish
d8e326ec-51e3-42f7-aa58-483570e4f151,172,Caring for children
a386ee80-a82b-431c-8557-d499e214cb20,172,caring for house
a386ee80-a82b-431c-8557-d499e214cb20,172,Preparing gear for fishing
0d22765a-b4bf-49e4-80a2-bdfa730302de,172,caring for house
283168b5-bac7-4bde-bbd7-8314be65de11,172,caring for house
a6498338-7ab4-450c-9b29-64d93667aead,172,Preparing gear for fishing
0476ba26-92dc-4e35-aa9d-5e65c7fef40a,172,caring for house
13cd43b3-8f40-493a-b448-9902ca8d6b9f,172,caring for house
d04efd93-1a98-41d2-bbb2-fada229e18a8,172,Preparing gear for fishing
b37870b2-daa1-45ef-b073-9ca92f56b77d,172,caring for house
11e9f5eb-8ea5-43ff-a93c-c165a8b66fa0,172,caring for house
ae69c40f-52fd-470b-bfcc-518d4bc260c1,172,caring for house
002a1b19-828d-44c1-9edf-e005e1d81cd7,172,Caring for children
1087498a-9b48-4173-981a-95cec35f16e3,172,caring for house
b7897ca4-4dba-4924-a1c1-e60aca437676,171,caring for house
236c50b8-f964-4aa8-ac8d-f6aa1e6d6f1d,171,caring for house
9da17169-dce7-4986-a09c-b678432e0f54,165,caring for house
03dd3cfe-be9d-461b-b91d-62e95d61d730,171,Caring for children
03dd3cfe-be9d-461b-b91d-62e95d61d730,171,caring for house
6eb13a0b-0449-4904-ab34-1b758a71c4b4,171,caring for house
9e79412d-284b-46d0-b75d-735b7b5116bc,171,caring for house
64e62bd1-d04f-4849-b592-49ddd67ac1e3,171,Caring for children
7195509a-ca60-46e7-a993-6da5ca675bbd,165,Caring for children
ebb088eb-e739-4574-b2d1-68cccbdb858d,171,Caring for children
d47c5450-e72c-4c39-b8c9-eea8dae90ded,171,caring for house
d157df9c-309f-4aa8-a2c2-84c4b5416ddc,165,Caring for children
b838c18e-8f84-40a2-9d93-1822dad1785c,171,Caring for children
bc54b023-d169-4e5c-978e-74cebfff92ae,171,Caring for children
55ad2cef-37be-48cb-a689-4bb1547a22f3,171,caring for house
01faa081-ec3b-4471-b5d0-8781280cd1d1,171,Caring for children
9c6c7291-abb9-41a1-94a8-6e95b674f369,171,Preparing gear for fishing
8e4656ed-e40e-4ff6-87b9-8a4f339d229c,171,caring for house
a82e752f-3d57-4158-a8b8-95e3d65485c6,171,caring for house
7fed96df-a0a9-463c-8be2-26926910ac19,165,Other
a174800e-6ef6-446e-ba51-ff0d71d619dc,171,Other
b22141ed-32f6-4464-a4f5-88d117870af8,165,Cleaning fish
2a14b12f-7b27-4533-9aa2-66428d471060,165,Selling fish
788c5ea9-4e94-4f8a-a405-cbe78c6fa32a,165,caring for house
ee2a80fb-baf0-4d5c-bc0a-787a9de5af33,171,Cleaning fish
aef8c8f1-750d-449d-8eb4-4e452e26e0c2,171,caring for house
dec4b2dc-f45b-4fe2-bcac-5cb807ee32ab,171,Caring for children
4205917d-730e-4eb3-bb5e-01fda1c62692,165,Caring for children
067ac2ad-6938-4a80-9d9d-ea38ba86f50e,171,Caring for children
2a886576-669a-4838-a771-01400eb1a85f,171,caring for house
48dcf7e0-3733-41a8-97f5-4c5314c332e2,171,Preparing gear for fishing
e8168fb9-eb70-4346-8f76-b6ab095595c5,171,Caring for children
762fffad-037d-4e39-a9c4-995b7e7ee5ea,165,Caring for children
9d598676-3211-409d-9a6e-fba0d53de40d,165,caring for house
8352acca-6873-4130-b23f-0800a96b1e49,165,caring for house
2c643aa1-8b36-4525-9164-c7d0d1980813,165,caring for house
6e96c69c-f2a3-476e-94dd-b5f48c1ea04c,165,Caring for children
48406368-5517-4038-bf48-8036936ec536,165,Preparing gear for fishing
79395872-d92e-42ac-a683-6f05443df61a,165,Cleaning fish
ccdb3feb-6b6f-4d1e-afa2-304de6f0ed08,165,caring for house
8bb9532c-ca2e-43ec-8417-26edcb18d249,165,Caring for children
4f68edd1-af8b-4ca3-ba9f-768cda438976,165,caring for house
85e8ca02-b217-484e-a1df-4c20e672261d,165,caring for house
dada7637-ee94-4a04-8f44-8739555a333a,165,Caring for children
1645aecf-100d-4c6f-9726-b10043dddf0f,165,caring for house
52e5aba9-9fd0-4685-8677-35fc28eb9a98,165,Caring for children
b3008183-e592-4a51-a710-9a39969450bd,165,caring for house
07af38c0-68b2-418f-9eba-4ba0d3b86ec8,165,caring for house
e63585cc-e071-4d36-820b-30db24994d7a,165,Caring for children
d6884894-997c-496c-a929-594caa374700,165,caring for house
71aa6388-ebcb-43d5-99d9-fded79f7b67d,165,caring for house
18e86ad5-a73c-4434-b6de-eacd0057e03e,173,Selling fish
a28d0571-d8a3-4c68-beb6-4b8a72f64aab,165,caring for house
