submissionid,ma_id,15_activity,15_hours
27474fcf-ffe1-459b-81ee-89a4f77a204e,173,mariscagem,5
83648cc4-c5c2-437f-881f-f74d4d80a071,173,cuida da casa,6
af066c6d-1ad2-418b-b206-35266f1cbc7e,173,cuidado de casa,8
3b12cf93-ad44-4166-966d-69763591e77f,172,pescar caranguejo,6
15c36491-850d-487a-bc6b-c7cb3f5fabbf,165,Cuidando da casa,12
342be7b7-dd52-4a3f-b0a2-d1ab6109ef96,171,Diarista,10
ac8446ca-4c7e-4e15-b445-e32295fa35be,171,venda de coisas de casa,8
ea14c800-21c2-41d8-86d7-2ec43a8bd524,171,atividades da casa ,4
6576d8a2-88c9-44cb-b1b3-03aa541e9235,171,pescadora,6
6576d8a2-88c9-44cb-b1b3-03aa541e9235,171,"cuida das crianças, da casa e do material de pesca.",12
27e3071e-4de8-4d29-8437-01b2278594f9,165,Agricultura,2
de742ae7-0752-4797-bbb8-f70b2ac4d7f5,165,cuida da casa,8
b1a84939-f9bc-49a0-9fc2-cddf1a570842,165,cuida da casa,10
07af38c0-68b2-418f-9eba-4ba0d3b86ec8,165,cuida da casa,8
7da651b2-49d5-40ee-8a47-70e2812fc398,165,dona da casa,18
deb1247a-0e14-4d0a-a6ed-c385a96f2f33,161,cuida da cas,3
7a90c6b6-4973-4e22-bf2a-e40a90a5a840,161,cuidado de afazeres  da casa ,5
07e4390b-9428-4802-8dea-8f87cb63d0cf,161,catadora de caranguejo,6
72b56aaf-3727-4a05-9706-7f8546cbdc99,164,cuidar da casa e das criancas,16
7c138ffa-d0cd-4c5f-8a2a-ef56051652c3,164,beneficimento do caranguejo ,7
55c86ed8-94cb-47ba-9d30-cd5cf04049bf,164,cuida da casa,10
9904f308-5109-44ef-bac1-3a04c52e2f7d,173,material de pesca,4
aee0943f-9939-4215-a9df-9cbd2a32b22b,173,cuidar da crianca,40
e6a728cd-dc5f-44df-bdf3-c9d532bf4101,173,cuida da casa,5
9b6c4e82-d05d-4f15-9af6-1bed37023eba,173,vendendo camarao e caranguejo,25
83253818-e11a-4287-9cae-22cb86426aa9,173,venda,35
27474fcf-ffe1-459b-81ee-89a4f77a204e,173,cuida da casa,6
79a15a51-8b68-4238-a814-b7a71001f227,173,pescar,6
b67ce536-4503-4091-bd05-f7fe3df608ab,173,cuidar crianca,30
aa84c17a-3aa7-4448-bcfc-47c65ec06c7a,173,beneficiamento do camarao,2
311e089d-9c8a-4a50-a5d5-858244b93f79,173,lava roupa pra fora ,3
427b3563-c7db-4bc5-b9b8-148914e2b2a0,173,cataçao,6
427b3563-c7db-4bc5-b9b8-148914e2b2a0,173,pesca,3
3d10dfe1-24b1-4e40-8e61-378ffed5d28e,173,cozinheira,3
e479c9a4-668a-483c-8c0a-762a4ab921bc,173,cuidado da casa ,6
a8492ceb-3b75-4a40-ba57-5d685f062fa5,172,atividades da casa,13
7a2dcf2e-6df7-479a-8798-77eaa5c9f3ce,172,atividades da casa,4
aa4a4e06-a992-4686-b1d1-9381de44131e,172,cuida da casa,10
015ee1ff-3178-4c54-92d5-89cedc8b0868,171,Cuidando de criança,12
41dd292e-f099-4490-a82c-a29bbdd9d350,171,cuidando de criança,6
ee97aac9-e7a5-43a0-9715-6932a26ff74c,171,catação de caranguejo,8
ecea8864-41b4-4099-b388-0bef4b1eaf7f,171,cuida da casa,4
7fed96df-a0a9-463c-8be2-26926910ac19,165,pesca,5
68c9a536-c2d8-4363-8938-04ffaefd2ab7,165,cuida da casa,6
0c56bb5c-43f8-4cdb-9b03-cdbe15704c76,165,cuida da casa,12
9d9a182c-7116-4f56-ba6a-3a3fc4e7e272,171,cuida da casa,12
9d9a182c-7116-4f56-ba6a-3a3fc4e7e272,171,cuida criança ,12
317dba2c-eb64-4631-b364-dc23f1a77105,171,cuida da casa,12
999fa2e7-cee8-4332-9099-8d2f43a5f54c,165,cuuda da casa e das crianças,16
9c6ba031-58bb-48ff-a386-1519e23e9caa,165,cuida dos filhos,24
48406368-5517-4038-bf48-8036936ec536,165,cuida da casa,6
ca49a8e4-bec5-45d1-8cd3-f4a2622276af,165,cuida da casa e das criança,14
c692963f-ebd9-4de2-9729-b94c6c3b614e,165,venda de roupa,3
1fb36ed3-d189-448d-ac29-e0af5bb7283a,165,vendedora,8
ec52b68a-7a06-42db-9683-c0bc447de5bb,161,cuidar da casa de parentes,12
a43cd61c-792b-463a-b65d-a6a7db694622,161,beneficiamento de caranguejo ,6
a43cd61c-792b-463a-b65d-a6a7db694622,161,cuidar da casa e das crianças ,16
af0d19b4-d633-4eec-941d-71836a9613ef,161,beneficiamento de caranguejo ,6
02294751-6876-4c96-a07d-945ae85f4150,164,cuida da casa,16
f124ae80-765d-4f8f-807f-ea9349d7ec55,164,catacao do carangueijo,5
e7aed27a-09b8-4c59-a76b-fd64a3fcd3a6,164,cuidado da casa ,4
5a209788-1353-4a41-a170-6326332d443c,173,cuida da casa ,6
388f410f-6fb8-401e-bdaf-41cc2fedde02,173,pescaria,5
966829cd-c327-4986-831a-3e7fbf1bd920,173,cuidar da casa,8
fca27c44-52d9-41ba-9d3e-b401cfef760f,173,dona de casa,18
c9d9f19d-6739-404e-b722-eeabad700433,173,cuidado de casa e crianças ,4
1fc548d9-423e-4259-9efc-bc814647de90,173,pesca ,4
c8b233bc-059a-4846-bc5e-850fbf0d71cb,172,atividades de casa ,18
d8e326ec-51e3-42f7-aa58-483570e4f151,172,cuidando da casa,12
a386ee80-a82b-431c-8557-d499e214cb20,172,cuidando de crianças,2
342be7b7-dd52-4a3f-b0a2-d1ab6109ef96,171,Cuidando da casa,12
236c50b8-f964-4aa8-ac8d-f6aa1e6d6f1d,171,cuidando da casa,15
c3c5aa11-322b-46b4-9528-2826ea262a82,165,cuida da casa,10
9e0fe92d-c23b-4e60-89e0-2378ae0cd5f3,171,cuida da casa,10
a982b72e-a9d4-40c5-bb54-67b32f9e4896,171,preparando o equipamento da pesca e cuida da casa,12
7fed96df-a0a9-463c-8be2-26926910ac19,165,cuidar da casa ,16
3ca05798-d4b7-4149-b605-d3fc45b6306b,171,cuidar da casa e das crianças ,16
68c9a536-c2d8-4363-8938-04ffaefd2ab7,165,roça,6
f1abeefa-918a-4803-9f30-5753fe7641d1,171,cuida da casa ,6
c2b933c6-57ab-4344-8bfd-1f3b0cbcf2a1,165,cuida da casa,15
a622c306-2279-45da-b84c-9e10d6718e05,165,professora,40
52e5aba9-9fd0-4685-8677-35fc28eb9a98,165,dona casa,20
77f816f0-6f71-4cdd-9605-f52265a29e24,161,beneficiamento de caranguejo ,4
657403e7-8f0e-4d75-879b-04f9890b248b,164,pesca,56
bad65fd5-6ad2-4ae2-a530-b248c9adca86,164,catação ,15
c214edd2-efea-4d10-a613-d03b424e4777,164,roça,3
cb060c01-d3da-4e25-8a15-9f5dad44f5cf,164,cuidado da casa e crianças ,6
9fb32a56-d745-4027-a93f-aedcc7a1b0eb,173,cuidado de casa,8
79a15a51-8b68-4238-a814-b7a71001f227,173,cuida da casa e das crianças ,15
c29d4590-a369-49e1-88b1-1148070160b9,173,tirar turu ,12
734f31d2-00f7-42da-98f1-9999cf5932f5,173,cerâmica ,40
32381817-f1ab-4c52-9c43-69fbbd5cca7f,173,cuidar da casa e das crianças ,12
cf7920c9-c7b6-4115-85a2-59d9de6efbbd,173,croche,4
f992d028-a103-4794-95cb-c072918d92d7,173,vendedora ,5
b4fd218d-dcf5-4aaa-96e6-fb5a911d477c,172,cuida da casa,6
9326fc72-7c7c-447d-bfb9-867f8d9fc13f,172,atividades domesticas ,16
d8e326ec-51e3-42f7-aa58-483570e4f151,172,cuidando de criança,12
b116a026-4f67-4eb9-8651-6f9c6c0c693c,171,Cuidando de criança,8
6ac7e4fe-9f30-4284-90f7-1dea88b324ff,171,vendendo o pescado,3
8cb262d7-8b52-4c94-b179-e1a747487792,171,cuidando da casa,16
e90b7d19-2363-449f-ac14-8ddaed23b978,171,lanchonete,3
b838c18e-8f84-40a2-9d93-1822dad1785c,171,catação de caranguejo,9
b838c18e-8f84-40a2-9d93-1822dad1785c,171,cuida da casa ,18
dadcddd8-7ca4-47d4-afa0-abc8d36d86cd,171,atividades da casa ,12
5afc4ee2-766f-48ce-a87c-507cda1a9280,171,vende o pescado e cuida da casa,16
f1abeefa-918a-4803-9f30-5753fe7641d1,171,cuida das crianças,8
c4d15c8c-516b-4a7b-a1c6-d8f5867ed13d,171,cuida da casa,12
9e798e9e-78d5-4db6-8d3d-6fc9acc1813a,171,cuida da casa,8
538e3acb-6a01-4abf-a560-74a3f107659c,165,cuidar da casa,12
d381bca4-57e2-4539-9e55-cfb83e7082ed,161,beneficiamento,10
0d26464a-b440-427d-a8c0-51279d2672f5,161,beneficiamento de caranguejo,5
6c3b932e-ffc7-4f03-b0d2-5e32b6794a13,164,cuida da casa,4
d019ab64-c765-458c-ba54-475efb7ac8c7,164,cuidar da casa,14
9f3444e5-01bc-47a0-9248-52d08c529726,173,cuidar de casa,6
9f3444e5-01bc-47a0-9248-52d08c529726,173,capinar,3
26a68be9-9709-4fad-954b-a20465f48448,173,cuidar da casa,30
83253818-e11a-4287-9cae-22cb86426aa9,173,pesca,20
194b9a79-c078-4132-8260-6a981ed8bb38,173,cuida da casa,6
c29d4590-a369-49e1-88b1-1148070160b9,173,cuidar da casa e das crianças ,16
fb2933ff-c404-42d3-9060-db6b540aeb81,173,cuidar da casa e das crianças ,15
fb2933ff-c404-42d3-9060-db6b540aeb81,173,pesca,12
8bb1dc8a-4e6d-4153-b022-871f59f3af1f,173,cuidar da casa e das crianças ,15
14fb1247-f9f9-4a87-9afa-cb7c522f2e5d,173,lava roupa pra fora,3
01379920-a897-47b3-bac3-27b44cff88ee,173,trabalha com vendedora,10
b70326d1-6f88-49a2-bf76-6d0f2f56ec0e,173,pesca,24
e2014f07-c399-416c-858e-7b29ea52b69e,172,trabalha na roça,4
cc0b7c2f-e32b-4751-b682-d504a2d09093,172,cuidando de criança,14
236c50b8-f964-4aa8-ac8d-f6aa1e6d6f1d,171,Preparando equipamento da pesca,10
d569f862-861a-47d5-bc4e-bb1e38533055,171,cuida da casa,15
507c9654-0f87-4050-90b5-b8b92f452f31,171,cuida da casa,15
893535fb-33a4-45a2-a747-9bfefe7ef646,171,atividades da casa,8
cc4b57f4-23aa-45ad-bf5d-21824205dc27,171,cuida da casa,12
493216dd-3966-4b3a-8c91-d7602e2e270b,171,cuida da casa e da criançada,16
dd597acd-50b2-4270-b8fe-fc101a0f2648,171,pesca,3
e8168fb9-eb70-4346-8f76-b6ab095595c5,171,cuida da casa ,8
ccdb3feb-6b6f-4d1e-afa2-304de6f0ed08,165,caragujero,12
4f68edd1-af8b-4ca3-ba9f-768cda438976,165,pesca ,6
65f41e9f-e84b-4765-bde6-34eb082c06ef,165,vendendo ,18
da565c59-d2ec-4596-83f1-4576e7604e50,165,cuidar da casa,8
22a30cb4-a8e3-4ad5-9065-96bfd8c9158c,165,0,9
b7f22c02-a032-48d7-b814-90c369611cbd,165,cuidar da casa e das crianças,14
97a82668-bc05-47db-8e23-278b4cff83d7,161,cuidar da casa e das crianças,14
bef7f656-37de-457a-b3b4-9a54d87fbd6d,161,venda de roupa,5
16f5c8fa-f756-4e22-8c4e-9262bc334f43,164,cuida da casa,6
e7aed27a-09b8-4c59-a76b-fd64a3fcd3a6,164,empregada doméstica ,10
cb060c01-d3da-4e25-8a15-9f5dad44f5cf,164,empregada doméstica ,5
dd96b547-7671-4cdb-9efb-db3f291f0363,173,pesca,8
427b3563-c7db-4bc5-b9b8-148914e2b2a0,173,cuidado da casa,8
c4792a91-8384-4b17-90c9-de80c06f088c,171,cuidando da casa,12
8cb262d7-8b52-4c94-b179-e1a747487792,171,cuidando dd criança,16
236c50b8-f964-4aa8-ac8d-f6aa1e6d6f1d,171,cuidando de criança,15
4032d396-5443-451e-8211-c6cea2445b88,165,cuidar da casa ,12
27e3071e-4de8-4d29-8437-01b2278594f9,165,cuida da casa,6
bfece21a-dea5-4713-bbce-25b0259efc3d,171,serviços gerais,8
067ac2ad-6938-4a80-9d9d-ea38ba86f50e,171,dos materias de pesca do Marido,2
84b6c5ba-cef0-4bdd-80bf-b5b970faffd5,165,Agricultura,6
ca49a8e4-bec5-45d1-8cd3-f4a2622276af,165,pesca ,6
5c471734-1464-4ca9-b4fc-0e2f7975606c,161,cuida da casa,8
538e3acb-6a01-4abf-a560-74a3f107659c,165,auremag e confren,3
5d2705a8-15f7-4bb2-8d0c-079b222eb071,161,cuidado da casa,7
555abf7e-37d9-4c63-864e-604ec62d8e9b,161,participo de atividades da igreja,4
35fe59eb-87bf-44e8-966d-a41edeb5ef4b,161,cuidando  da casa e das crianças,8
af0d19b4-d633-4eec-941d-71836a9613ef,161,pescar marisco,6
8827ed6f-53c3-440d-a9f9-4cafbd1535ea,161,faz bolos confeitados,6
72b56aaf-3727-4a05-9706-7f8546cbdc99,164,beneficiamento de caranguejo,8
304fb61e-70ad-4b16-a02d-afac460efca0,173,cuidado da casa,8
f47261a4-9cd1-479b-8a69-da9f032494f3,173,cuida da casa,6
896a05d8-6e8f-4331-89fb-01e23945268c,173,cuida da casa,6
aa84c17a-3aa7-4448-bcfc-47c65ec06c7a,173,pesca,5
65cf5d11-de1b-46e7-a034-0dd8d8c417fa,172,cuidando da casa ,15
eea78b65-d883-416b-902a-7e0d6a007aaf,172,cuidar da casa e das crianças,16
6f4f7442-0961-4b65-903d-f9a277466388,165,cuida da casa,15
3b77c1f2-37bd-4db6-8ada-0757c06da232,171,trabalha na associação da água,15
1e01826b-9ba2-4e8e-95e3-44b2d436cd1d,171,voluntaria na igreja catolica,4
26b460e5-dfaa-489c-ac1b-73f67def5205,171,trabalha de autonoma,7
bfece21a-dea5-4713-bbce-25b0259efc3d,171,cuida da casa,5
8832cfb0-9f61-4b0f-95fa-80e7d70afca5,171,pesca,4
0097b5b7-dd42-45e4-a439-81d155129091,171,cuida de casa,8
19b79246-cf41-4128-be75-dcbe93b11179,165,Cuidando da casa,16
8ae954cd-d9da-4c8e-945d-d9f811dc88e5,165,cuidar da casa e das criancas,14
d5eed7f9-6b75-401f-aa42-1ee8f017901a,165,cuidar da casa ,14
b09b9967-a91b-406d-902a-7bc3ee65b7e4,165,pesca,6
e6e0ff2b-82c5-4ccb-b6b7-e87175016335,165,cuida da casa,12
9c6ba031-58bb-48ff-a386-1519e23e9caa,165,cuida da casa ,12
48406368-5517-4038-bf48-8036936ec536,165,Agricultura,3
4f68edd1-af8b-4ca3-ba9f-768cda438976,165,cuidar da casa,15
85e8ca02-b217-484e-a1df-4c20e672261d,165,trabalha na roça,4
c68b8c39-7de9-4068-849b-fd3373bb3bd8,165,rosa,5
773f32ac-d4e3-4d7a-8d66-3eea10fbe9ae,165,cuidar da casa e das crianças,14
f0645c0d-b697-4d03-8cb5-f7496973cc8d,165,cuida da casa e das crianças,14
f49d89b7-b1d9-4d67-b3db-7a432533d6c7,161,cuidado das crianças ,9
5d2705a8-15f7-4bb2-8d0c-079b222eb071,161,cuidado das crianças ,5
939f5235-573a-4216-ac58-a260a3726e54,161,casa,8
77f816f0-6f71-4cdd-9605-f52265a29e24,161,cuidando da casa e da criança ,16
11545d5b-cd00-4e45-be61-715d82e74dd5,161,Igreja,3
b86a51a8-e4c0-42ee-b03c-17f8df319ce1,161,bebeficiar o caranguejo,6
23dcd181-6d7f-48f2-bb4b-ffd06f35aac8,164,cuidar da casa e das criancas,16
de6bf54f-ccec-4806-b148-641198265ca8,164,pesca,8
b99c2700-17d9-45f9-a512-be4c11e01d82,164,lavroura,12
f124ae80-765d-4f8f-807f-ea9349d7ec55,164,cuidado de casa,1
7d2acd5c-bde7-4c83-8170-d21bdb80f02f,164,pesca e roça,8
7c44e168-5c0b-4019-9390-f59848535fdd,164,cuida da casa,4
fdb01694-f613-4a82-b9b5-3a54ac36e227,164,diarista casa de família ,24
abeed387-4652-456a-944a-ea6394e37c41,173,cuida da casa,8
e5c35548-7c68-46d1-9a25-78f6b8b24f65,173,cuidar da casa,8
6cc5e46d-8deb-4c67-ac9b-f83e695df0d1,173,cuidar da casa ,6
e1a258c2-e76a-45a5-aacf-ef08347761f3,173,autonoma,5
08669f43-03cf-4abf-995a-a501a336dfb9,173,cuidar da casa,16
a386ee80-a82b-431c-8557-d499e214cb20,172,cuidando da casa,2
8cb262d7-8b52-4c94-b179-e1a747487792,171,vendendo pescado,10
02c84336-441a-4641-a08b-ab636ac036d8,171,Funcionaria publica,6
81471765-316d-4c7e-9373-2f97e7b7c26c,165,merendeira da escola,4
ad32798c-4ab3-4532-9461-3614715967a3,171,cuida da casa,10
3cc3d3bd-3198-4820-af4f-3e50cb440f1a,171,atividades da casa ,12
4032d396-5443-451e-8211-c6cea2445b88,165,criação de ostra,5
